date,all,long,short,net
2005-01-04,66759,32283,-1670,30613
2005-01-11,62685,26494,-517,25977
2005-01-18,65081,27749,-534,27215
2005-01-25,71814,31905,-1002,30903
2005-02-01,79897,38430,-2646,35784
2005-02-08,76844,36050,-8451,27599
2005-02-15,89106,44618,-7919,36699
2005-02-22,95179,49918,-3948,45970
2005-03-01,104099,56250,-871,55379
2005-03-08,130231,55816,-3863,51953
2005-03-15,102848,57410,-3269,54141
2005-03-22,105846,58973,-3982,54991
2005-03-29,81324,30819,-4195,26624
2005-04-05,78489,26134,-5048,21086
2005-04-12,85163,31709,-6286,25423
2005-04-19,85577,25245,-6922,18323
2005-04-26,89273,33986,-6692,27294
2005-05-03,89548,33987,-4622,29365
2005-05-10,89282,36178,-5352,30826
2005-05-17,84442,24221,-8986,15235
2005-05-24,85299,21939,-8632,13307
2005-05-31,83172,15019,-9095,5924
2005-06-07,87578,15528,-2679,12849
2005-06-14,59436,19846,-4587,15259
2005-06-21,83291,36466,-3071,33395
2005-06-28,69392,24447,-1473,22974
2005-07-05,60369,16534,-7964,8570
2005-07-12,64490,17868,-9312,8556
2005-07-19,63659,16209,-9453,6756
2005-07-26,60938,20643,-3300,17343
2005-08-02,60900,20549,-3232,17317
2005-08-09,72496,30047,-2029,28018
2005-08-16,73801,27090,-786,26304
2005-08-23,60188,14661,-2791,11870
2005-08-30,61099,14142,-3277,10865
2005-09-06,65292,20798,-1465,19333
2005-09-13,96367,36285,-3043,33242
2005-09-20,78632,36201,0,36201
2005-09-27,63181,23527,-582,22945
2005-10-04,69587,29452,-582,28870
2005-10-11,60128,18844,-1916,16928
2005-10-18,63897,19393,-8331,11062
2005-10-25,59833,15562,-7648,7914
2005-11-01,61243,14623,-10587,4036
2005-11-08,68200,17183,-13112,4071
2005-11-15,75581,18367,-18174,193
2005-11-22,79829,19690,-18941,749
2005-11-29,78973,21190,-15448,5742
2005-12-06,71637,23052,-7340,15712
2005-12-13,82817,23890,-3608,20282
2005-12-20,43315,14497,-6588,7909
2005-12-27,57071,13691,-12787,904
2006-01-03,60245,21116,-14006,7110
2006-01-10,55332,26703,-4969,21734
2006-01-17,61525,27102,-4393,22709
2006-01-24,63978,29898,-10522,19376
2006-01-31,73813,38523,-9265,29258
2006-02-07,68525,31309,-10528,20781
2006-02-14,62933,22669,-14618,8051
2006-02-21,62973,19649,-15648,4001
2006-02-28,58377,16175,-14800,1375
2006-03-07,67707,16803,-19699,-2896
2006-03-14,43094,16571,-14937,1634
2006-03-21,61058,19065,-30392,-11327
2006-03-28,68768,18522,-31854,-13332
2006-04-04,65124,21629,-27479,-5850
2006-04-11,54618,23254,-16317,6937
2006-04-18,52049,20597,-9436,11161
2006-04-25,52591,23684,-15927,7757
2006-05-02,57861,27297,-5524,21773
2006-05-09,74660,34685,-5831,28854
2006-05-16,78831,36522,-5937,30585
2006-05-23,81572,28453,-12143,16310
2006-05-30,76396,33720,-6932,26788
2006-06-06,72968,24106,-10188,13918
2006-06-13,81160,23302,-11350,11952
2006-06-20,37629,11753,-14165,-2412
2006-06-27,42014,14220,-11514,2706
2006-07-03,45680,17141,-12080,5061
2006-07-11,51757,21901,-4965,16936
2006-07-18,54649,30614,-2399,28215
2006-07-25,62339,37046,-3654,33392
2006-08-01,67931,40195,-2082,38113
2006-08-08,65353,36364,-3307,33057
2006-08-15,72893,42751,-3659,39092
2006-08-22,62131,31584,-1509,30075
2006-08-29,63348,34383,-1142,33241
2006-09-05,81372,49725,-1779,47946
2006-09-12,69370,25739,-1205,24534
2006-09-19,61952,39055,-5423,33632
2006-09-26,57337,34442,-4353,30089
2006-10-03,56292,31493,-9912,21581
2006-10-10,65437,43831,-8581,35250
2006-10-17,74025,49027,-9338,39689
2006-10-24,87502,61738,-5314,56424
2006-10-31,107657,78430,-7077,71353
2006-11-07,123491,94014,-8399,85615
2006-11-14,105229,71619,-6669,64950
2006-11-21,108253,75236,-7775,67461
2006-11-28,123916,90263,-10505,79758
2006-12-05,129455,88467,-13156,75311
2006-12-12,170902,92025,-11111,80914
