date,all,am_long,am_short,am_net,lev_long,lev_short,lev_net
2017-01-03,104009,4627,-18929,-14302,28597,-40402,-11805
2017-01-10,96885,9960,-17046,-7086,17630,-37756,-20126
2017-01-17,87631,20679,-15714,4965,21966,-30986,-9020
2017-01-24,94379,24455,-14693,9762,35073,-26861,8212
2017-01-31,101420,23101,-17144,5957,40959,-18670,22289
2017-02-07,114105,22868,-18639,4229,51245,-18373,32872
2017-02-14,127869,24377,-18708,5669,61496,-21407,40089
2017-02-21,137436,26410,-18750,7660,69822,-24080,45742
2017-02-28,141914,28295,-13511,14784,73814,-20358,53456
2017-03-07,153365,22343,-12558,9785,70504,-16089,54415
2017-03-14,114008,20402,-14782,5620,60243,-21662,38581
2017-03-21,134004,27150,-11157,15993,66097,-20343,45754
2017-03-28,134422,30506,-7780,22726,67042,-13946,53096
2017-04-04,137172,28886,-7865,21021,68385,-17778,50607
2017-04-11,123144,25301,-12136,13165,57177,-16022,41155
2017-04-18,114453,21413,-12119,9294,52437,-14494,37943
2017-04-25,108559,23454,-10656,12798,45330,-15479,29851
2017-05-02,107876,20075,-13735,6340,42148,-16036,26112
2017-05-09,120039,14854,-17417,-2563,40291,-23334,16957
2017-05-16,138755,10231,-20299,-10068,43306,-38560,4746
2017-05-23,128250,10693,-12378,-1685,33302,-42131,-8829
2017-05-30,129388,9391,-11968,-2577,36056,-41863,-5807
2017-06-06,133572,9309,-12437,-3128,31796,-41161,-9365
2017-06-13,134959,5640,-10673,-5033,29709,-37914,-8205
2017-06-20,81975,7396,-11895,-4499,38720,-27702,11018
2017-06-27,89953,7380,-12526,-5146,46263,-27647,18616
2017-07-03,100735,10088,-9914,174,52859,-22949,29910
2017-07-11,98130,8059,-10490,-2431,53331,-15041,38290
2017-07-18,117718,7922,-12754,-4832,65123,-12276,52847
2017-07-25,132765,8317,-11056,-2739,77087,-22578,54509
2017-08-01,139228,8198,-13091,-4893,81416,-22635,58781
2017-08-08,149911,6723,-13611,-6888,94322,-22819,71503
2017-08-15,149809,7810,-17506,-9696,95283,-16284,78999
2017-08-22,149592,8464,-16163,-7699,93652,-13204,80448
2017-08-29,159477,13208,-17513,-4305,99624,-14245,85379
2017-09-05,168171,17736,-18268,-532,99677,-16445,83232
2017-09-12,187355,16914,-16538,376,98164,-17444,80720
2017-09-19,158733,21121,-15506,5615,95571,-17225,78346
2017-09-26,154112,19096,-17619,1477,94306,-10974,83332
2017-10-03,147098,12555,-19557,-7002,96406,-10809,85597
2017-10-10,140854,10180,-20193,-10013,91472,-9103,82369
2017-10-17,134145,12065,-20442,-8377,79248,-10135,69113
2017-10-24,134558,12000,-23586,-11586,80514,-12582,67932
2017-10-31,131999,9472,-26097,-16625,81134,-18606,62528
2017-11-07,125196,4765,-24432,-19667,73777,-17063,56714
2017-11-14,126097,4540,-28551,-24011,70311,-16169,54142
2017-11-21,132975,6603,-36296,-29693,73439,-20330,53109
2017-11-28,134805,6767,-37752,-30985,72333,-22147,50186
2017-12-05,139427,5617,-39556,-33939,73766,-25205,48561
2017-12-12,157029,6233,-41407,-35174,78116,-32074,46042
2017-12-19,105270,5915,-38844,-32929,40574,-29341,11233
2017-12-26,110525,6110,-33999,-27889,40535,-39890,645
2018-01-02,123176,10832,-29470,-18638,44295,-54001,-9706
2018-01-09,123463,15127,-27673,-12546,51651,-37200,14451
2018-01-16,123922,16822,-25312,-8490,50764,-30970,19794
2018-01-23,141176,17913,-22393,-4480,63064,-37371,25693
2018-01-30,140204,18453,-20023,-1570,61394,-34768,26626
2018-02-06,139810,19896,-18375,1521,63792,-34030,29762
2018-02-13,113967,13620,-17703,-4083,49473,-21374,28099
2018-02-20,111159,12530,-17979,-5449,48671,-18005,30666
2018-02-27,111306,11618,-16703,-5085,50098,-19461,30637
2018-03-06,106051,8211,-21380,-13169,50481,-20413,30068
2018-03-13,106473,10793,-16726,-5933,38219,-22281,15938
2018-03-20,97255,8470,-20914,-12444,53296,-25141,28155
2018-03-27,104797,6243,-25318,-19075,49396,-30007,19389
2018-04-03,108830,4643,-27524,-22881,42762,-31135,11627
2018-04-10,104209,4276,-27557,-23281,36170,-26675,9495
2018-04-17,99720,4621,-24999,-20378,27893,-27456,437
2018-04-24,122645,6515,-30725,-24210,47417,-36378,11039
2018-05-01,145711,4574,-45496,-40922,59351,-40611,18740
2018-05-08,160224,2777,-49430,-46653,55481,-49061,6420
2018-05-15,173515,3220,-52258,-49038,60134,-60231,-97
2018-05-22,150320,2782,-36688,-33906,37203,-54068,-16865
2018-05-29,155973,4237,-44229,-39992,37476,-52888,-15412
2018-06-05,143872,4644,-41496,-36852,29086,-46035,-16949
2018-06-12,137724,6641,-36305,-29664,21729,-39367,-17638
2018-06-19,135854,5022,-41993,-36971,30693,-50367,-19674
2018-06-26,137795,4392,-40461,-36069,29708,-50402,-20694
2018-07-03,141049,5892,-42817,-36925,29290,-48219,-18929
2018-07-10,135171,5914,-40194,-34280,25480,-46805,-21325
2018-07-17,132268,6063,-40186,-34123,24402,-44972,-20570
2018-07-24,133557,5243,-41598,-36355,22248,-44398,-22150
2018-07-31,137325,6078,-42261,-36183,21344,-47462,-26118
2018-08-07,141237,6496,-40459,-33963,20513,-51130,-30617
2018-08-14,149238,6514,-41176,-34662,21062,-53239,-32177
2018-08-21,145299,6195,-39049,-32854,19292,-51827,-32535
2018-08-28,141344,6586,-35673,-29087,20509,-49496,-28987
2018-09-04,156234,7335,-41269,-33934,27186,-54275,-27089
2018-09-11,176761,6827,-49550,-42723,41200,-57845,-16645
2018-09-18,162860,7009,-57169,-50160,31816,-49179,-17363
2018-09-25,158761,7043,-56315,-49272,25023,-48824,-23801
2018-10-02,154671,7061,-55113,-48052,22947,-50296,-27349
2018-10-09,170758,7545,-57241,-49696,25419,-56043,-30624
2018-10-16,155988,7835,-54920,-47085,20478,-48451,-27973
2018-10-23,157539,8218,-53316,-45098,19913,-49629,-29716
2018-10-30,164840,9485,-53673,-44188,22933,-47537,-24604
2018-11-06,150565,10962,-47753,-36791,23156,-45715,-22559
2018-11-13,146295,9924,-43421,-33497,19347,-41280,-21933
2018-11-20,141872,12176,-38460,-26284,18142,-41199,-23057
2018-11-27,136796,11625,-36506,-24881,14166,-34683,-20517
