date,all,long,short,net
2005-01-04,87161,26545,-6281,20264
2005-01-11,81259,23188,-5116,18072
2005-01-18,81248,23417,-5836,17581
2005-01-25,87458,27127,-7247,19880
2005-02-01,88810,26801,-9486,17315
2005-02-08,85163,23230,-8412,14818
2005-02-15,95044,32781,-12154,20627
2005-02-22,108804,44160,-16442,27718
2005-03-01,112973,49255,-16029,33226
2005-03-08,118035,52332,-16243,36089
2005-03-15,114956,46771,-15983,30788
2005-03-22,120517,47101,-16870,30231
2005-03-29,114349,40691,-15086,25605
2005-04-05,119690,43081,-15554,27527
2005-04-12,132104,46134,-17988,28146
2005-04-19,117163,32513,-13873,18640
2005-04-26,116212,35217,-12857,22360
2005-05-03,107401,34649,-15269,19380
2005-05-10,104321,31653,-14769,16884
2005-05-17,94172,20525,-17204,3321
2005-05-24,91941,20094,-16541,3553
2005-05-31,92253,23327,-13835,9492
2005-06-07,99573,31621,-13609,18012
2005-06-14,104947,36892,-16080,20812
2005-06-21,112051,42701,-19918,22783
2005-06-28,112939,41847,-21136,20711
2005-07-05,102082,33523,-20166,13357
2005-07-12,106406,36722,-21641,15081
2005-07-19,111141,39644,-22767,16877
2005-07-26,114252,42350,-25531,16819
2005-08-02,117895,46210,-28016,18194
2005-08-09,113439,44439,-28075,16364
2005-08-16,105061,41269,-26506,14763
2005-08-23,102608,38358,-27496,10862
2005-08-30,104766,37291,-27936,9355
2005-09-06,105839,38826,-29059,9767
2005-09-13,99329,33734,-27483,6251
2005-09-20,100852,34780,-27885,6895
2005-09-27,104395,37483,-28266,9217
2005-10-04,107932,40996,-31475,9521
2005-10-11,111629,43167,-32056,11111
2005-10-18,107427,38505,-31179,7326
2005-10-25,102512,31662,-30431,1231
2005-11-01,105650,31733,-28506,3227
2005-11-08,109378,34052,-28313,5739
2005-11-15,114189,36580,-29053,7527
2005-11-22,113630,34901,-28448,6453
2005-11-29,108347,33228,-28016,5212
2005-12-06,105746,33206,-27847,5359
2005-12-13,104891,32890,-28231,4659
2005-12-20,101998,30868,-28647,2221
2005-12-27,103119,32404,-29643,2761
2006-01-03,103466,33082,-30378,2704
2006-01-10,101982,32890,-31780,1110
2006-01-17,100702,32186,-29930,2256
2006-01-24,102580,33342,-30596,2746
2006-01-31,101294,32581,-31408,1173
2006-02-07,99049,33321,-29569,3752
2006-02-14,92717,28653,-28050,603
2006-02-21,89954,23242,-25672,-2430
2006-02-28,85356,18584,-23143,-4559
2006-03-07,85611,18392,-21099,-2707
2006-03-14,91472,20042,-19331,711
2006-03-21,97150,22278,-19268,3010
2006-03-28,97486,22521,-20979,1542
2006-04-04,100249,23570,-23958,-388
2006-04-11,97705,22134,-23562,-1428
2006-04-18,99934,20225,-21789,-1564
2006-04-25,96336,16532,-19161,-2629
2006-05-02,85352,15054,-17058,-2004
2006-05-09,86434,14392,-15307,-915
2006-05-16,85375,12894,-15376,-2482
2006-05-23,81363,10904,-17415,-6511
2006-05-30,79541,10356,-16728,-6372
2006-06-06,76869,8775,-16077,-7302
2006-06-13,78658,8380,-14036,-5656
2006-06-20,76311,8447,-11699,-3252
2006-06-27,73323,8197,-11907,-3710
2006-07-03,72880,8460,-10899,-2439
2006-07-11,74754,10614,-12828,-2214
2006-07-18,76332,10848,-14197,-3349
2006-07-25,73348,8471,-14165,-5694
2006-08-01,71537,8643,-14950,-6307
2006-08-08,72385,9387,-15981,-6594
2006-08-15,74277,9324,-17348,-8024
2006-08-22,72057,8211,-17929,-9718
2006-08-29,69311,8156,-19336,-11180
2006-09-05,69247,9376,-18099,-8723
2006-09-12,68944,7881,-17275,-9394
2006-09-19,68168,9170,-20212,-11042
2006-09-26,67977,10566,-20167,-9601
2006-10-03,69400,10554,-22847,-12293
2006-10-10,69015,10562,-23849,-13287
2006-10-17,72713,13068,-21992,-8924
2006-10-24,75321,12435,-22183,-9748
2006-10-31,74423,11748,-22691,-10943
2006-11-07,72371,11443,-25083,-13640
2006-11-14,73681,10013,-27023,-17010
2006-11-21,73218,9130,-27232,-18102
2006-11-28,70308,9859,-27495,-17636
2006-12-05,68793,9550,-26632,-17082
2006-12-12,67911,9439,-26965,-17526
2006-12-19,68920,8423,-27394,-18971
2006-12-26,67350,6507,-26714,-20207
2007-01-03,70253,5847,-25841,-19994
2007-01-09,69879,6335,-25590,-19255
2007-01-16,68933,5358,-25985,-20627
2007-01-23,70723,5190,-26561,-21371
2007-01-30,71448,5545,-27129,-21584
2007-02-06,72035,5449,-27347,-21898
2007-02-13,70803,5710,-26386,-20676
2007-02-20,71320,5156,-25867,-20711
2007-02-27,65863,5301,-24153,-18852
2007-03-06,65495,5207,-24486,-19279
2007-03-13,65156,4642,-22907,-18265
2007-03-20,71303,7761,-22839,-15078
2007-03-27,74716,8680,-24470,-15790
2007-04-03,77186,9927,-22818,-12891
2007-04-10,80185,12333,-22357,-10024
2007-04-17,80657,13787,-22572,-8785
2007-04-24,80138,13923,-22406,-8483
2007-05-01,81864,15079,-23409,-8330
2007-05-08,81613,15900,-23965,-8065
2007-05-15,81845,15317,-24368,-9051
2007-05-22,80380,12655,-23772,-11117
2007-05-29,79901,12093,-23624,-11531
2007-06-05,81226,12740,-22323,-9583
2007-06-12,76962,13222,-22204,-8982
2007-06-19,78337,13894,-22256,-8362
2007-06-26,79416,13474,-22397,-8923
2007-07-03,81852,15360,-23710,-8350
2007-07-10,87538,20648,-24557,-3909
2007-07-17,89893,20639,-24406,-3767
2007-07-24,94496,21993,-24958,-2965
2007-07-31,89395,19544,-24959,-5415
2007-08-07,84651,18463,-24017,-5554
2007-08-14,76111,13970,-19908,-5938
2007-08-21,76498,12313,-19380,-7067
2007-08-28,73083,11271,-17808,-6537
2007-09-04,69156,11478,-16634,-5156
2007-09-11,68684,12518,-16637,-4119
2007-09-18,71557,14435,-16863,-2428
2007-09-25,77528,17474,-17396,78
2007-10-02,83055,20787,-19307,1480
2007-10-09,86905,23322,-19283,4039
2007-10-16,90148,22890,-20921,1969
2007-10-23,86858,19606,-20130,-524
2007-10-30,86013,17403,-20060,-2657
2007-11-06,83317,15556,-18680,-3124
2007-11-13,78465,12163,-18565,-6402
2007-11-20,77837,11396,-17997,-6601
2007-11-27,73905,9580,-17500,-7920
2007-12-04,70839,8457,-16812,-8355
2007-12-11,70873,8673,-16665,-7992
2007-12-18,73019,8702,-17746,-9044
2007-12-24,71767,8504,-16567,-8063
2007-12-31,72142,9309,-16579,-7270
2008-01-08,75606,9382,-15579,-6197
2008-01-15,83849,10724,-19539,-8815
2008-01-22,86382,11307,-20355,-9048
2008-01-29,89706,10688,-20024,-9336
2008-02-05,90375,11552,-18781,-7229
2008-02-12,88310,18417,-17863,554
2008-02-19,93661,21336,-17784,3552
2008-02-26,101872,24783,-19202,5581
2008-03-04,101867,27387,-18291,9096
2008-03-11,103107,29142,-19142,10000
2008-03-18,101953,27231,-19888,7343
2008-03-25,97323,23073,-15518,7555
2008-04-01,101860,25610,-16029,9581
2008-04-08,102525,28023,-19182,8841
2008-04-15,105070,30643,-21360,9283
2008-04-22,107654,30703,-21690,9013
2008-04-29,104206,29123,-22559,6564
2008-05-06,99434,27833,-20639,7194
2008-05-13,97799,24173,-19985,4188
2008-05-20,101017,24632,-19592,5040
2008-05-27,98441,22205,-18544,3661
2008-06-03,97981,20776,-21663,-887
2008-06-10,96229,20614,-20430,184
2008-06-17,102488,23149,-19960,3189
2008-06-24,109496,25237,-18619,6618
2008-07-01,111367,26085,-18647,7438
2008-07-08,110218,25343,-18805,6538
2008-07-15,105627,21001,-17982,3019
2008-07-22,110899,20424,-19431,993
2008-07-29,108234,18062,-20304,-2242
2008-08-05,110205,15980,-20299,-4319
2008-08-12,100371,13037,-18479,-5442
2008-08-19,94900,10449,-19576,-9127
2008-08-26,87899,8940,-19992,-11052
2008-09-02,77739,7720,-19789,-12069
2008-09-09,76798,7093,-20512,-13419
2008-09-16,76698,8754,-21151,-12397
2008-09-23,74489,9744,-19643,-9899
2008-09-30,78214,5816,-21985,-16169
2008-10-07,80024,5643,-24442,-18799
2008-10-14,80670,5881,-24008,-18127
2008-10-21,83603,6259,-23838,-17579
2008-10-28,79285,6663,-22546,-15883
2008-11-04,77976,5905,-22063,-16158
2008-11-11,77148,6327,-21736,-15409
2008-11-18,80583,8073,-24317,-16244
2008-11-25,72372,7873,-23970,-16097
2008-12-02,70029,8653,-26375,-17722
2008-12-09,69033,8130,-25347,-17217
2008-12-16,71777,9531,-27772,-18241
2008-12-22,74212,9682,-28750,-19068
2008-12-30,74252,10070,-29515,-19445
2009-01-06,76356,9052,-28741,-19689
2009-01-13,81996,7191,-30297,-23106
2009-01-20,83617,7009,-32318,-25309
2009-01-27,84113,6592,-32122,-25530
2009-02-03,87299,7352,-32590,-25238
2009-02-10,83934,8874,-33519,-24645
2009-02-17,89405,7665,-35092,-27427
2009-02-24,84903,7461,-34955,-27494
2009-03-03,80939,7303,-32200,-24897
2009-03-10,86966,12397,-32473,-20076
2009-03-17,92910,15727,-34574,-18847
2009-03-24,95985,16058,-34473,-18415
2009-03-31,96572,15517,-34042,-18525
2009-04-07,102332,18576,-35974,-17398
2009-04-14,106758,17874,-36735,-18861
2009-04-21,103736,18504,-37984,-19480
2009-04-28,106170,19980,-37865,-17885
2009-05-05,104619,18992,-37530,-18538
2009-05-12,108470,18403,-37142,-18739
2009-05-19,105791,18384,-37192,-18808
2009-05-26,107631,19834,-37546,-17712
2009-06-02,111357,21485,-40139,-18654
2009-06-09,109820,19790,-38559,-18769
2009-06-16,115321,21247,-39711,-18464
2009-06-23,109536,18605,-40340,-21735
2009-06-30,104189,18029,-38093,-20064
2009-07-07,102426,17971,-38932,-20961
2009-07-14,106268,17607,-37744,-20137
2009-07-21,115991,23014,-39074,-16060
2009-07-28,120479,25235,-39810,-14575
2009-08-04,121925,27256,-37910,-10654
2009-08-11,117741,27433,-37843,-10410
2009-08-18,116703,27431,-28688,-1257
2009-08-25,118454,28889,-30133,-1244
2009-09-01,119527,28277,-31825,-3548
2009-09-08,118148,27933,-30181,-2248
2009-09-15,117983,26436,-28769,-2333
2009-09-22,117248,24442,-27979,-3537
2009-09-29,113874,22101,-28382,-6281
2009-10-06,119080,24278,-29049,-4771
2009-10-13,121664,25357,-27186,-1829
2009-10-20,133100,32948,-31263,1685
2009-10-27,138431,37835,-28780,9055
2009-11-03,140662,38502,-29440,9062
2009-11-09,143698,38649,-31087,7562
2009-11-17,151451,44596,-35345,9251
2009-11-24,152001,46078,-34942,11136
2009-12-01,148809,46459,-35239,11220
2009-12-08,147950,48128,-35502,12626
2009-12-15,147691,45671,-35194,10477
2009-12-22,145637,43330,-34755,8575
2009-12-29,154559,50473,-35939,14534
2010-01-05,158539,51738,-35210,16528
2010-01-12,151321,51974,-29433,22541
2010-01-19,143012,50762,-23095,27667
2010-01-26,140683,48727,-19957,28770
2010-02-02,132113,40438,-22166,18272
2010-02-09,124076,35897,-22247,13650
2010-02-16,126363,37722,-23642,14080
2010-02-23,126394,38991,-23027,15964
2010-03-02,125878,38872,-23005,15867
2010-03-09,127613,41913,-23635,18278
2010-03-16,130126,42288,-23284,19004
2010-03-23,132494,42636,-24585,18051
2010-03-30,141517,47203,-25546,21657
2010-04-06,151388,50530,-27584,22946
2010-04-13,150306,53458,-29990,23468
2010-04-20,153954,50461,-29547,20914
2010-04-27,151824,47952,-28142,19810
2010-05-04,142318,42642,-29152,13490
2010-05-11,130991,36092,-25494,10598
2010-05-18,128554,35258,-28033,7225
2010-05-25,128730,32592,-28609,3983
2010-06-01,127018,32767,-27456,5311
2010-06-08,131799,34347,-33065,1282
2010-06-15,137265,33306,-31870,1436
2010-06-22,139932,33374,-31901,1473
2010-06-29,130392,31968,-29106,2862
2010-07-06,127883,31620,-29435,2185
2010-07-13,129938,31820,-27462,4358
2010-07-20,132711,32592,-28677,3915
2010-07-27,136009,35846,-24596,11250
2010-08-03,141838,37984,-25024,12960
2010-08-10,139666,40232,-23586,16646
2010-08-17,140934,41110,-26631,14479
2010-08-24,139877,36304,-26890,9414
2010-08-31,134206,39392,-26162,13230
2010-09-07,137079,41758,-26975,14783
2010-09-14,141028,42144,-25735,16409
2010-09-21,142955,43877,-26796,17081
2010-09-28,147744,48383,-26221,22162
2010-10-05,153457,51583,-27184,24399
2010-10-12,158917,52794,-28726,24068
2010-10-19,162855,54303,-28153,26150
2010-10-26,167063,55260,-28797,26463
2010-11-02,163209,52585,-27377,25208
2010-11-09,164045,55566,-25477,30089
2010-11-16,152332,49986,-24026,25960
2010-11-23,146054,46097,-23307,22790
2010-11-30,148249,47784,-26677,21107
2010-12-07,157675,53567,-27135,26432
2010-12-14,163546,58287,-28019,30268
2010-12-21,166422,59804,-27641,32163
2010-12-28,167334,61837,-30035,31802
2011-01-04,166289,61858,-30245,31613
2011-01-11,165488,61530,-31423,30107
2011-01-18,165873,62505,-32316,30189
2011-01-25,155810,53961,-30049,23912
2011-02-01,160259,57306,-32595,24711
2011-02-08,162263,63087,-33627,29460
2011-02-15,159468,59706,-30667,29039
2011-02-22,151893,53809,-30579,23230
2011-03-01,147581,50320,-23701,26619
2011-03-08,141773,49103,-24793,24310
2011-03-15,134739,46193,-22831,23362
2011-03-22,133713,44489,-22667,21822
2011-03-29,135882,47672,-20628,27044
2011-04-05,134293,46268,-23884,22384
2011-04-12,142085,52973,-21983,30990
2011-04-19,132383,43667,-18608,25059
2011-04-26,130849,42076,-18398,23678
2011-05-03,125898,40403,-19399,21004
2011-05-10,120303,34445,-22626,11819
2011-05-17,119749,29693,-21948,7745
2011-05-24,120829,28382,-22354,6028
2011-05-31,123919,29163,-19183,9980
2011-06-07,122995,30044,-20316,9728
2011-06-14,132616,31122,-20388,10734
2011-06-21,133849,30500,-20735,9765
2011-06-28,124236,29596,-19591,10005
2011-07-05,138627,40534,-21571,18963
2011-07-12,146864,48272,-24486,23786
2011-07-19,152876,49556,-25807,23749
2011-07-26,156140,51606,-27015,24591
2011-08-02,156089,51036,-26773,24263
2011-08-09,128475,34375,-23514,10861
2011-08-16,125673,27568,-21674,5894
2011-08-23,126380,28138,-24288,3850
2011-08-30,115815,28750,-26048,2702
2011-09-06,115872,30682,-27185,3497
2011-09-13,118383,30700,-28872,1828
2011-09-20,125531,31651,-34950,-3299
2011-09-27,119891,29860,-31322,-1462
2011-10-04,121499,28040,-31458,-3418
2011-10-11,122868,27971,-35030,-7059
2011-10-18,129014,28110,-33449,-5339
2011-10-25,129893,28375,-31313,-2938
2011-11-01,126363,28641,-26854,1787
2011-11-08,123572,26697,-26385,312
2011-11-15,129991,26992,-28106,-1114
2011-11-22,124189,26072,-30294,-4222
2011-11-29,112374,26425,-29733,-3308
2011-12-06,113252,26715,-29347,-2632
2011-12-13,115993,27040,-30396,-3356
2011-12-20,116050,28339,-33294,-4955
2011-12-27,117153,28669,-32261,-3592
2012-01-03,120794,29629,-31177,-1548
2012-01-10,126638,31413,-33123,-1710
2012-01-17,132457,34047,-31736,2311
2012-01-24,142751,36031,-31508,4523
