date,all,long,short,net
2017-08-01,24804,12596,-3985,8611
2017-08-08,24360,12669,-4051,8618
2017-08-15,23356,11711,-5754,5957
2017-08-22,22455,11450,-5088,6362
2017-09-05,21905,10807,-2105,8702
2017-09-12,23569,10445,-2356,8089
2018-01-23,28733,11958,-8837,3121
2018-01-30,29104,12668,-10504,2164
2018-02-13,26056,10771,-6484,4287
2018-02-20,25953,12356,-4648,7708
2018-02-27,25281,12258,-1631,10627
2018-05-29,24721,13928,-2318,11610
2018-07-17,27480,11066,-3266,7800
2018-07-24,27012,11173,-2419,8754
2018-07-31,25695,10053,-1280,8773
2018-08-07,25898,10838,-1305,9533
2018-08-14,27986,12443,-1956,10487
2018-08-21,29084,12887,-2359,10528
2018-09-04,27900,10714,-2820,7894
2018-09-11,34948,10190,-2843,7347
2018-09-18,29914,8138,-2675,5463
2018-10-09,25265,5342,-2694,2648
2018-10-16,25330,6168,-2388,3780
2018-10-23,25616,7019,-3132,3887
2018-10-30,26453,7388,-3234,4154
2018-11-06,27590,8306,-3930,4376
2018-11-13,28205,9107,-4109,4998
2018-11-20,28641,9035,-4089,4946
2018-11-27,27829,7905,-3768,4137
2018-12-04,28897,9560,-3768,5792
2018-12-11,44623,9087,-4319,4768
2018-12-18,39033,9233,-4324,4909
2018-12-24,29007,4762,-5575,-813
2018-12-31,28352,3861,-5573,-1712
2019-01-08,27563,3309,-6502,-3193
2019-01-15,26916,2936,-6681,-3745
2019-01-22,27674,2842,-6303,-3461
2019-01-29,27498,2323,-6437,-4114
2019-02-05,26282,1800,-5268,-3468
2019-02-12,26395,1673,-5579,-3906
2019-02-19,26630,2305,-6154,-3849
2019-04-23,23370,2064,-2905,-841
2019-04-30,24067,3154,-2902,252
2019-05-07,24571,3183,-3305,-122
2019-05-14,26438,5291,-4261,1030
2019-05-21,26784,5494,-4410,1084
2019-05-28,27427,6576,-5007,1569
2019-06-04,27384,4899,-6611,-1712
2019-06-11,27094,4695,-6717,-2022
2019-06-18,28648,5537,-7173,-1636
2019-06-25,25302,5699,-7253,-1554
2019-07-02,25337,5476,-7204,-1728
2019-07-09,26856,7006,-7469,-463
2019-07-16,27653,7228,-7402,-174
2019-07-23,28062,8040,-7402,638
2019-07-30,26937,7114,-6272,842
2019-08-06,26379,6322,-5187,1135
2019-08-13,25450,6667,-3682,2985
2019-08-20,24899,6434,-3170,3264
2019-08-27,24455,6043,-2857,3186
2019-09-03,23971,5567,-2781,2786
2019-09-10,28501,5156,-3643,1513
2019-09-17,28840,3682,-5470,-1788
2019-10-01,23033,1246,-3878,-2632
2019-10-08,22834,1580,-3485,-1905
2019-10-15,21703,456,-3510,-3054
2019-10-22,22716,996,-4935,-3939
2019-10-29,22047,477,-3058,-2581
2019-11-05,21866,881,-3838,-2957
2019-11-12,22062,892,-3819,-2927
2019-11-19,22481,1340,-3879,-2539
2019-11-26,22562,1340,-3733,-2393
2019-12-03,23734,1309,-6023,-4714
2019-12-10,27942,886,-6379,-5493
2019-12-17,28753,909,-7765,-6856
2019-12-31,22832,3210,-1851,1359
2020-01-07,23229,3791,-1851,1940
2020-01-28,25127,4919,-1940,2979
2020-02-18,26199,7099,-1018,6081
2020-02-25,23001,3262,-1385,1877
2020-03-03,22266,3043,-1142,1901
2020-03-10,24540,4777,-1999,2778
2020-10-27,19619,6225,-4524,1701
2020-11-03,19660,6842,-3773,3069
2020-12-15,17981,3411,-3439,-28
2020-12-21,16757,3486,-3929,-443
2020-12-29,16698,3446,-3931,-485
2021-01-05,16914,4003,-3832,171
2021-01-12,17092,3996,-3413,583
2021-02-16,17619,3199,-3945,-746
2021-02-23,18742,4205,-5155,-950
2021-03-02,18484,3603,-4596,-993
2021-03-09,20457,3548,-4716,-1168
2021-03-16,22707,4005,-5956,-1951
2021-03-30,21157,4391,-5445,-1054
2021-04-06,21113,4552,-5445,-893
2021-04-13,21477,4681,-5498,-817
2021-04-20,23679,5776,-7759,-1983
2021-04-27,23695,5911,-7779,-1868
2021-05-04,23049,5872,-7347,-1475
2021-05-11,23092,5900,-7347,-1447
2021-05-18,23562,5894,-7899,-2005
2021-05-25,23212,5930,-7725,-1795
2021-06-01,23353,6184,-7744,-1560
2021-06-08,25921,6032,-7744,-1712
2021-06-15,25871,6002,-7744,-1742
2021-06-22,22145,6590,-7760,-1170
2021-06-29,23497,7870,-7760,110
2021-07-06,26859,11360,-8188,3172
2021-07-13,25868,11223,-7788,3435
2021-07-20,25143,10950,-7807,3143
2021-07-27,27959,14598,-7807,6791
2021-08-03,28011,14613,-7807,6806
2021-08-10,27822,14514,-7824,6690
2021-08-17,29059,15727,-7824,7903
2021-08-24,29265,15679,-7824,7855
2021-08-31,28588,15196,-7824,7372
2021-09-07,33023,14079,-7824,6255
2021-09-14,34253,14294,-7824,6470
2021-09-21,28988,10876,-7824,3052
2021-09-28,28136,9364,-7890,1474
2021-10-05,28114,9782,-7966,1816
2021-10-12,28288,9026,-7966,1060
2021-10-19,24697,4639,-10248,-5609
2021-10-26,23732,4669,-9691,-5022
2021-11-02,23086,4021,-9248,-5227
2021-11-09,22815,4098,-8660,-4562
2021-11-16,22030,3366,-7760,-4394
2021-11-23,25322,6185,-10503,-4318
2021-11-30,26533,6029,-10502,-4473
2021-12-07,28272,7024,-10837,-3813
2021-12-14,34124,7878,-12678,-4800
2021-12-21,26769,4142,-12496,-8354
2021-12-28,26698,4031,-12496,-8465
2022-01-04,26461,3963,-12938,-8975
2022-01-11,24444,1803,-11713,-9910
2022-01-18,24321,1816,-10154,-8338
2022-02-01,25185,2562,-10138,-7576
2022-02-08,25173,1688,-10414,-8726
2022-02-15,24456,1666,-11470,-9804
2022-02-22,24307,1665,-11768,-10103
2022-03-01,25769,2957,-10509,-7552
2022-03-08,27109,4622,-10607,-5985
2022-03-15,39119,4964,-11647,-6683
2022-04-05,23058,1470,-9401,-7931
2022-04-12,22559,1566,-8924,-7358
2022-04-19,22892,1807,-9097,-7290
2022-04-26,22945,1998,-9869,-7871
2022-05-03,23490,2500,-9794,-7294
2022-05-10,24057,2812,-9708,-6896
2022-05-17,22867,2542,-8757,-6215
2022-05-31,21019,1638,-7194,-5556
2022-06-07,22055,1753,-7899,-6146
2022-06-14,25149,1982,-9010,-7028
2022-06-21,17470,5326,-7146,-1820
2022-07-05,18329,5868,-5257,611
2022-07-12,18577,6050,-5687,363
2022-07-19,18011,5039,-5259,-220
2022-07-26,18598,5219,-5694,-475
2022-08-02,18823,5854,-5753,101
2022-08-09,18861,5353,-5259,94
2022-08-16,19246,6102,-5822,280
2022-08-23,19313,6463,-6146,317
2022-08-30,18884,5381,-5720,-339
2022-09-13,21526,3887,-5098,-1211
2023-02-07,21537,6012,-5710,302
2023-06-20,26076,5198,-6225,-1027
2023-07-03,23448,7796,-5855,1941
2023-07-11,24241,8546,-6272,2274
2023-07-18,22037,6218,-4407,1811
2023-07-25,21058,4732,-3932,800
2023-08-08,22445,6446,-3923,2523
2023-08-15,22584,6006,-4031,1975
2023-08-22,22269,5167,-3655,1512
2023-08-29,22052,4980,-3530,1450
2023-09-12,23569,5886,-4620,1266
2023-09-19,23336,5315,-4620,695
2023-12-12,23391,6662,-4385,2277
2024-02-20,21713,6262,-5903,359
2024-02-27,22509,6439,-5968,471
2024-03-05,23467,6102,-5602,500
2024-03-12,26129,6848,-4552,2296
2024-03-19,27908,6493,-5372,1121
2024-04-02,22933,5519,-4033,1486
2024-04-09,23353,5721,-4983,738
2024-04-16,22659,5133,-4883,250
2024-04-23,22355,4865,-4288,577
2024-04-30,22074,4685,-5256,-571
2024-06-04,21959,4581,-3989,592
2024-06-11,24865,5426,-4266,1160
2024-06-18,28725,6578,-4323,2255
2025-08-26,16122,2732,-3861,-1129
2025-09-16,17226,3486,-3835,-349
2025-09-23,16836,4192,-3828,364
2025-10-07,17620,4764,-3828,936
2025-10-14,19273,6722,-3828,2894
2025-10-21,19346,5742,-3890,1852
2025-10-28,19519,6365,-3955,2410
2025-11-04,19093,5581,-3955,1626
2025-11-10,19294,5736,-3955,1781
2025-11-18,19536,6301,-3962,2339
2025-11-25,18014,5872,-4560,1312
2025-12-02,18192,5941,-4588,1353
2025-12-09,20378,5995,-4833,1162
