date,all,am_long,am_short,am_net,lev_long,lev_short,lev_net
2017-08-01,24804,8522,-5593,2929,6086,0,6086
2017-08-08,24360,8575,-5657,2918,6106,0,6106
2017-08-15,23356,7923,-7361,562,5800,0,5800
2017-08-22,22455,8687,-6737,1950,4775,0,4775
2017-09-05,21905,8639,-5669,2970,4192,-1505,2687
2017-09-12,23569,9155,-5279,3876,3857,-1956,1901
2018-01-16,28551,11504,-6728,4776,2877,-6699,-3822
2018-01-23,28733,12359,-6750,5609,2554,-7378,-4824
2018-01-30,29104,12571,-6483,6088,3116,-9045,-5929
2018-02-06,27001,12672,-5215,7457,0,-7591,-7591
2018-02-13,26056,12523,-5494,7029,1203,-5735,-4532
2018-02-20,25953,11239,-5515,5724,2601,-4624,-2023
2018-02-27,25281,9973,-7419,2554,3768,-1601,2167
2018-05-29,24721,8353,-10860,-2507,6904,-1129,5775
2018-07-17,27480,8169,-12580,-4411,5491,-1344,4147
2018-07-24,27012,8209,-12545,-4336,5558,-553,5005
2018-07-31,25695,8622,-11975,-3353,4049,0,4049
2018-08-07,25898,8614,-11842,-3228,4843,0,4843
2018-08-14,27986,8200,-11804,-3604,6848,-650,6198
2018-08-21,29084,8243,-13061,-4818,7240,0,7240
2018-09-04,27900,8194,-14043,-5849,5068,0,5068
2018-09-11,34948,6899,-14977,-8078,5839,0,5839
2018-09-18,29914,5313,-14786,-9473,5298,0,5298
2018-10-09,25265,9910,-12169,-2259,4459,0,4459
2018-10-16,25330,9902,-11031,-1129,5307,0,5307
2018-10-23,25616,9805,-11766,-1961,6156,0,6156
2018-10-30,26453,8954,-11469,-2515,6941,0,6941
2018-11-06,27590,9842,-12198,-2356,7876,0,7876
2018-11-13,28205,10437,-12484,-2047,8262,0,8262
2018-11-20,28641,10740,-12464,-1724,8201,0,8201
2018-11-27,27829,10442,-12102,-1660,7476,0,7476
2018-12-04,28897,10862,-12131,-1269,8717,0,8717
2018-12-11,44623,11162,-12664,-1502,8261,0,8261
2018-12-18,39033,11112,-12647,-1535,8298,0,8298
2018-12-24,29007,10963,-12670,-1707,3881,-1251,2630
2018-12-31,28352,10924,-12247,-1323,3001,-1252,1749
2019-01-08,27563,10938,-10031,907,2437,-2279,158
2019-01-15,26916,10870,-9764,1106,1556,-2777,-1221
2019-01-22,27674,10551,-9385,1166,1457,-2794,-1337
2019-01-29,27498,10520,-9339,1181,936,-2928,-1992
2019-02-05,26282,9586,-9596,-10,915,-1645,-730
2019-02-12,26395,9428,-10555,-1127,749,-1248,-499
2019-02-19,26630,9453,-11131,-1678,1376,-1230,146
2019-04-23,23370,8130,-10471,-2341,1624,0,1624
2019-04-30,24067,8200,-10467,-2267,2714,0,2714
2019-05-07,24571,8205,-10883,-2678,2743,0,2743
2019-05-14,26438,8618,-11805,-3187,4851,-996,3855
2019-05-21,26784,8613,-12226,-3613,5054,-996,4058
2019-05-28,27427,8106,-12856,-4750,6088,-957,5131
2019-06-04,27384,7967,-13746,-5779,4404,-957,3447
2019-06-11,27094,8385,-10529,-2144,3739,-947,2792
2019-06-18,28648,7554,-10613,-3059,5057,-957,4100
2019-06-25,25302,7577,-10656,-3079,5220,-957,4263
2019-07-02,25337,7482,-10691,-3209,5064,-935,4129
2019-07-09,26856,7484,-11063,-3579,6593,-950,5643
2019-07-16,27653,6882,-11068,-4186,7228,-940,6288
2019-07-23,28062,6805,-11087,-4282,8040,-940,7100
2019-07-30,26937,6372,-9947,-3575,6686,-937,5749
2019-08-06,26379,5473,-9931,-4458,5883,-980,4903
2019-08-13,25450,4352,-11268,-6916,6226,-407,5819
2019-08-20,24899,4320,-10777,-6457,5989,0,5989
2019-08-27,24455,4323,-10585,-6262,5598,0,5598
2019-09-03,23971,4235,-10541,-6306,5122,0,5122
2019-09-10,28501,4262,-10957,-6695,4769,0,4769
2019-09-17,28840,6152,-9815,-3663,3287,-1712,1575
2019-10-01,23033,6147,-11501,-5354,790,-990,-200
2019-10-08,22834,5951,-11399,-5448,1124,-890,234
2019-10-15,21703,5894,-10199,-4305,0,-1839,-1839
2019-10-22,22716,5865,-9840,-3975,528,-3324,-2796
2019-10-29,22047,5859,-10067,-4208,0,-1555,-1555
2019-11-05,21866,6949,-10248,-3299,0,-2091,-2091
2019-11-12,22062,7031,-10340,-3309,0,-1920,-1920
2019-11-19,22481,6845,-10602,-3757,448,-1843,-1395
2019-11-26,22562,6559,-10581,-4022,448,-1703,-1255
2019-12-03,23734,7280,-10602,-3322,448,-3991,-3543
2019-12-10,27942,7102,-11133,-4031,0,-3873,-3873
2019-12-17,28753,7044,-11145,-4101,0,-5237,-5237
2019-12-31,22832,5844,-12948,-7104,2293,0,2293
2020-01-07,23229,5848,-12922,-7074,2874,0,2874
2020-01-28,25127,5877,-13549,-7672,3715,-586,3129
2020-02-18,26199,4783,-13668,-8885,5875,0,5875
2020-02-25,23001,4750,-9614,-4864,2055,0,2055
2020-03-03,22266,4592,-8880,-4288,1946,0,1946
2020-03-10,24540,4053,-10559,-6506,4148,0,4148
2020-10-27,19619,6050,-11085,-5035,3322,0,3322
2020-11-03,19660,5658,-11242,-5584,4097,0,4097
2020-12-15,17981,6502,-7383,-881,0,-79,-79
2020-12-21,16757,6705,-7411,-706,0,-516,-516
2020-12-29,16698,6643,-7228,-585,0,-518,-518
2021-01-05,16914,6794,-7226,-432,0,-419,-419
2021-01-12,17092,6853,-7238,-385,0,0,0
2021-02-16,17619,6514,-7193,-679,0,-1986,-1986
2021-02-23,18742,6537,-6721,-184,1000,-3285,-2285
2021-03-02,18484,6450,-6471,-21,500,-2734,-2234
2021-03-09,20457,6397,-6395,2,500,-2911,-2411
2021-03-16,22707,6812,-6440,372,500,-3738,-3238
2021-03-30,21157,6425,-8763,-2338,1094,-1545,-451
2021-04-06,21113,6478,-8859,-2381,1157,-1545,-388
2021-04-13,21477,6407,-9478,-3071,1309,-1545,-236
2021-04-20,23679,6390,-11758,-5368,2361,-1545,816
2021-04-27,23695,6317,-11743,-5426,2514,-1545,969
2021-05-04,23049,6282,-11121,-4839,2469,-1545,924
2021-05-11,23092,6253,-11125,-4872,2489,-1545,944
2021-05-18,23562,5963,-11641,-5678,2612,-1545,1067
2021-05-25,23212,5924,-11027,-5103,2662,-1545,1117
2021-06-01,23353,6330,-11051,-4721,2512,-1545,967
2021-06-08,25921,6593,-11047,-4454,2033,-1545,488
2021-06-15,25871,6722,-11506,-4784,2005,-1545,460
2021-06-22,22145,7040,-12847,-5807,2275,-1545,730
2021-06-29,23497,7028,-14097,-7069,3567,-1545,2022
2021-07-06,26859,7061,-17298,-10237,7054,-1545,5509
2021-07-13,25868,6433,-16714,-10281,7426,-1545,5881
2021-07-20,25143,5956,-16001,-10045,7745,-1545,6200
2021-07-27,27959,5816,-19188,-13372,12036,-1545,10491
2021-08-03,28011,5704,-19590,-13886,12103,-1545,10558
2021-08-10,27822,5692,-19620,-13928,12021,-1545,10476
2021-08-17,29059,5681,-20461,-14780,13249,-1545,11704
2021-08-24,29265,5657,-20451,-14794,13225,-1545,11680
2021-08-31,28588,5615,-19782,-14167,12749,-1545,11204
2021-09-07,33023,5616,-19777,-14161,11633,-1545,10088
2021-09-14,34253,5711,-19340,-13629,11772,-1545,10227
2021-09-21,28988,5692,-19400,-13708,7723,-2205,5518
2021-09-28,28136,5027,-19433,-14406,6871,-1545,5326
2021-10-05,28114,5061,-20362,-15301,7283,-2057,5226
2021-10-12,28288,5040,-20621,-15581,6548,-2309,4239
2021-10-19,24697,5905,-14525,-8620,1299,-4563,-3264
2021-10-26,23732,6568,-13438,-6870,665,-4006,-3341
2021-11-02,23086,6590,-13150,-6560,0,-3798,-3798
2021-11-09,22815,6667,-13218,-6551,0,-3182,-3182
2021-11-16,22030,5795,-13264,-7469,187,-2285,-2098
2021-11-23,25322,6521,-15534,-9013,2999,-2285,714
2021-11-30,26533,5134,-15542,-10408,4230,-2285,1945
2021-12-07,28272,5056,-15937,-10881,5226,-2285,2941
2021-12-14,34124,5065,-17597,-12532,6070,-2285,3785
2021-12-21,26769,5053,-17630,-12577,2344,-1545,799
2021-12-28,26698,5017,-17724,-12707,2269,-1545,724
2022-01-04,26461,5062,-16734,-11672,2156,-2907,-751
2022-01-11,24444,5679,-13807,-8128,0,-3984,-3984
2022-01-18,24321,5071,-14355,-9284,0,-3245,-3245
2022-02-01,25185,4853,-16836,-11983,793,-1545,-752
2022-02-08,25173,4772,-15956,-11184,0,-2393,-2393
2022-02-15,24456,4256,-14800,-10544,0,-3679,-3679
2022-02-22,24307,4255,-14254,-9999,0,-3882,-3882
2022-03-01,25769,4221,-17140,-12919,1326,-1545,-219
2022-03-08,27109,4542,-16819,-12277,2670,-1545,1125
2022-03-15,39119,3980,-17636,-13656,3477,-1545,1932
2022-04-05,23058,4213,-12056,-7843,0,-5769,-5769
2022-04-12,22559,4218,-11354,-7136,0,-4854,-4854
2022-04-19,22892,4392,-11468,-7076,0,-4881,-4881
2022-04-26,22945,4583,-10104,-5521,0,-5554,-5554
2022-05-03,23490,5085,-10111,-5026,0,-5478,-5478
2022-05-10,24057,5397,-9301,-3904,0,-6227,-6227
2022-05-17,22867,5240,-9185,-3945,0,-5276,-5276
2022-05-31,21019,3622,-9452,-5830,0,-3571,-3571
2022-06-07,22055,3691,-9497,-5806,0,-4274,-4274
2022-06-14,25149,3945,-9010,-5065,47,-5388,-5341
2022-06-21,17470,3886,-10322,-6436,3447,-1282,2165
2022-07-05,18329,3853,-8206,-4353,4003,-1282,2721
2022-07-12,18577,3796,-8595,-4799,4179,-1282,2897
2022-07-19,18011,3745,-8152,-4407,3178,-1282,1896
2022-07-26,18598,3892,-8649,-4757,3182,-1282,1900
2022-08-02,18823,4054,-8725,-4671,4002,-1282,2720
2022-08-09,18861,2856,-8778,-5922,4690,-1282,3408
2022-08-16,19246,2856,-9341,-6485,5439,-1282,4157
2022-08-23,19313,2856,-9748,-6892,5800,-1177,4623
2022-08-30,18884,2855,-9313,-6458,4718,-1177,3541
2022-09-13,21526,3322,-8165,-4843,2773,-1177,1596
2023-02-07,21537,3514,-11315,-7801,4272,0,4272
2023-06-20,26076,5381,-10484,-5103,2241,0,2241
2023-07-03,23448,5320,-10459,-5139,5124,0,5124
2023-07-11,24241,5503,-11277,-5774,5987,0,5987
2023-07-18,22037,4975,-9066,-4091,4762,0,4762
2023-07-25,21058,4963,-8603,-3640,3377,0,3377
2023-08-08,22445,5365,-8438,-3073,5180,0,5180
2023-08-15,22584,5320,-8338,-3018,4823,0,4823
2023-08-22,22269,4820,-7898,-3078,4738,0,4738
2023-08-29,22052,4818,-7686,-2868,4595,0,4595
2023-09-12,23569,4822,-7759,-2937,5368,-1000,4368
2023-09-19,23336,4862,-6894,-2032,4915,-1000,3915
2023-12-12,23391,4657,-8147,-3490,2951,-269,2682
2024-02-20,21713,6581,-9981,-3400,1009,-2261,-1252
2024-02-27,22509,6805,-9991,-3186,1074,-2410,-1336
2024-03-05,23467,5892,-9970,-4078,1158,-2059,-901
2024-03-12,26129,6679,-9751,-3072,1006,-1347,-341
2024-03-19,27908,5925,-9872,-3947,1093,-2167,-1074
2024-04-02,22933,5922,-11962,-6040,918,-732,186
2024-04-09,23353,5721,-12002,-6281,1500,-1673,-173
2024-04-16,22659,5744,-12422,-6678,1022,-1152,-130
2024-04-23,22355,5440,-12535,-7095,964,-400,564
2024-04-30,22074,5276,-12455,-7179,841,-1232,-391
2024-06-04,21959,5247,-11844,-6597,974,-537,437
2024-06-11,24865,5539,-11117,-5578,1631,-838,793
2024-06-18,28725,6731,-13295,-6564,1522,-819,703
2025-08-26,16122,4123,-11377,-7254,602,0,602
2025-09-16,17226,4638,-11219,-6581,973,0,973
2025-09-23,16836,4728,-11021,-6293,1595,0,1595
2025-10-07,17620,4620,-11088,-6468,1706,0,1706
2025-10-14,19273,5041,-12618,-7577,3159,0,3159
2025-10-21,19346,4270,-12714,-8444,2545,0,2545
2025-10-28,19519,4444,-12825,-8381,3451,0,3451
2025-11-04,19093,4487,-12785,-8298,2575,0,2575
2025-11-10,19294,4412,-13644,-9232,3270,0,3270
2025-11-18,19536,4896,-13319,-8423,3269,0,3269
2025-11-25,18014,4704,-11181,-6477,2555,-598,1957
2025-12-02,18192,4823,-10819,-5996,2925,-626,2299
