date,all,long,short,net
2005-01-04,141191,35806,-24735,11071
2005-01-11,143785,33414,-17233,16181
2005-01-18,131661,28380,-18467,9913
2005-01-25,131203,25401,-24633,768
2005-02-01,129210,25980,-24055,1925
2005-02-08,152377,26185,-26816,-631
2005-02-15,148131,28112,-28357,-245
2005-02-22,164961,29004,-24980,4024
2005-03-01,169942,46880,-13462,33418
2005-03-08,169161,37116,-14526,22590
2005-03-15,122371,42647,-12735,29912
2005-03-22,115071,36967,-9768,27199
2005-03-29,116888,30250,-12497,17753
2005-04-05,126079,26469,-19571,6898
2005-04-12,131025,30092,-24332,5760
2005-04-19,118581,23613,-18592,5021
2005-04-26,133030,23524,-19305,4219
2005-05-03,138018,26070,-21195,4875
2005-05-10,148731,27335,-28879,-1544
2005-05-17,156860,22232,-35720,-13488
2005-05-24,162145,24631,-39952,-15321
2005-05-31,190494,24211,-42521,-18310
2005-06-07,193707,22939,-40710,-17771
2005-06-14,140233,26335,-46000,-19665
2005-06-21,142566,26061,-47343,-21282
2005-06-28,139172,31816,-46057,-14241
2005-07-05,148960,23019,-47891,-24872
2005-07-12,140286,24267,-32115,-7848
2005-07-19,143052,23055,-34925,-11870
2005-07-26,144785,24520,-32816,-8296
2005-08-02,143594,24408,-24599,-191
2005-08-09,145759,28507,-24276,4231
2005-08-16,148418,27289,-26705,584
2005-08-23,145089,24238,-30004,-5766
2005-08-30,153731,26465,-30084,-3619
2005-09-06,161018,38768,-15250,23518
2005-09-13,162743,29321,-21736,7585
2005-09-20,118666,29052,-30480,-1428
2005-09-27,135698,32927,-34530,-1603
2005-10-04,143338,34646,-36544,-1898
2005-10-11,130998,30103,-25311,4792
2005-10-18,144421,25238,-24383,855
2005-10-25,151243,20794,-23352,-2558
2005-11-01,144306,26432,-19434,6998
2005-11-08,159878,29558,-36185,-6627
2005-11-15,175265,31487,-44709,-13222
2005-11-22,185618,35452,-46579,-11127
2005-11-29,182131,30467,-48599,-18132
2005-12-06,179353,28784,-51356,-22572
2005-12-13,192392,28088,-29151,-1063
2005-12-20,123445,24852,-20348,4504
2005-12-27,112370,25937,-21359,4578
2006-01-03,119238,36013,-24782,11231
2006-01-10,127386,42096,-20135,21961
2006-01-17,129565,41207,-19996,21211
2006-01-24,144608,56834,-19370,37464
2006-01-31,147953,58564,-22182,36382
2006-02-07,140121,45622,-26657,18965
2006-02-14,140958,43279,-31323,11956
2006-02-21,151300,42097,-32012,10085
2006-02-28,159681,50882,-32480,18402
2006-03-07,177395,49877,-35999,13878
2006-03-14,134870,55058,-27074,27984
2006-03-21,141536,58377,-16925,41452
2006-03-28,140715,56336,-15525,40811
2006-04-04,161921,67859,-15467,52392
2006-04-11,159310,58717,-17087,41630
2006-04-18,165741,70019,-14677,55342
2006-04-25,177240,79841,-14316,65525
2006-05-02,187074,90615,-16141,74474
2006-05-09,198501,87975,-15064,72911
2006-05-16,195254,87436,-14060,73376
2006-05-23,197806,87361,-15285,72076
2006-05-30,195502,96864,-16980,79884
2006-06-06,209552,102560,-14364,88196
2006-06-13,202394,72732,-10886,61846
2006-06-20,132604,66017,-13527,52490
2006-06-27,148166,77942,-13272,64670
2006-07-03,162104,87088,-18543,68545
2006-07-11,168069,92291,-14396,77895
2006-07-18,152795,67816,-16122,51694
2006-07-25,146454,66687,-16386,50301
2006-08-01,157856,85072,-11643,73429
2006-08-08,177763,101133,-9025,92108
2006-08-15,178761,99050,-8846,90204
2006-08-22,175943,89994,-8524,81470
2006-08-29,170168,88423,-8786,79637
2006-09-05,171026,86223,-11207,75016
2006-09-12,168483,79626,-12909,66717
2006-09-19,131398,69197,-18083,51114
2006-09-26,136955,67422,-17480,49942
2006-10-03,142202,76049,-19832,56217
2006-10-10,150795,69105,-32577,36528
2006-10-17,154610,69850,-43258,26592
2006-10-24,158034,70934,-43783,27151
2006-10-31,162230,84563,-24515,60048
2006-11-07,178237,96738,-27813,68925
2006-11-14,170609,81912,-21437,60475
2006-11-21,178692,84717,-19411,65306
2006-11-28,207573,107372,-17778,89594
2006-12-05,223733,115201,-16936,98265
2006-12-12,230245,112188,-15505,96683
2006-12-19,194079,110993,-19023,91970
2006-12-26,186755,100959,-20989,79970
2007-01-03,189612,98245,-20789,77456
2007-01-09,183293,93415,-18243,75172
2007-01-16,164594,67482,-13940,53542
2007-01-23,169518,77516,-16506,61010
2007-01-30,174218,85505,-22926,62579
2007-02-06,182666,74223,-28893,45330
