date,all,am_long,am_short,am_net,lev_long,lev_short,lev_net
2006-06-13,202394,20872,-17391,3481,49945,-7623,42322
2006-06-20,132604,20116,-14822,5294,37815,-12996,24819
2006-06-27,148166,19283,-14770,4513,51142,-11361,39781
2006-07-03,162104,19703,-14517,5186,64455,-11561,52894
2006-07-11,168069,19496,-13091,6405,69298,-10862,58436
2006-07-18,152795,20735,-11973,8762,50192,-10830,39362
2006-07-25,146454,21684,-11973,9711,46022,-13658,32364
2006-08-01,157856,20602,-11964,8638,59548,-8527,51021
2006-08-08,177763,20124,-12104,8020,74394,-6944,67450
2006-08-15,178761,20271,-11443,8828,73151,-6576,66575
2006-08-22,175943,17037,-11437,5600,68246,-6883,61363
2006-08-29,170168,17396,-10347,7049,63077,-7535,55542
2006-09-05,171026,18141,-9398,8743,59319,-9214,50105
2006-09-12,168483,18597,-10035,8562,61227,-10696,50531
2006-09-19,131398,18995,-9551,9444,46743,-13340,33403
2006-09-26,136955,19876,-7662,12214,43390,-11950,31440
2006-10-03,142202,19735,-6666,13069,50567,-13037,37530
2006-10-10,150795,20812,-5942,14870,41815,-28722,13093
2006-10-17,154610,22357,-4884,17473,41452,-34619,6833
2006-10-24,158034,23359,-5381,17978,41209,-37360,3849
2006-10-31,162230,23176,-4978,18198,55998,-14863,41135
2006-11-07,178237,21878,-4223,17655,68434,-13554,54880
2006-11-14,170609,21625,-4012,17613,56684,-9314,47370
2006-11-21,178692,21351,-3721,17630,58168,-8740,49428
2006-11-28,207573,24985,-2212,22773,72313,-11785,60528
2006-12-05,223733,23037,-2678,20359,80295,-13077,67218
2006-12-12,230245,20139,-5580,14559,82572,-7682,74890
2006-12-19,194079,21012,-8960,12052,78431,-8431,70000
2006-12-26,186755,21622,-8318,13304,70848,-10888,59960
2007-01-03,189612,23001,-8283,14718,64339,-11520,52819
2007-01-09,183293,23768,-7399,16369,57696,-10102,47594
2007-01-16,164594,24147,-7145,17002,34131,-9659,24472
2007-01-23,169518,24846,-8935,15911,41113,-10734,30379
2007-01-30,174218,24310,-9489,14821,47316,-14363,32953
2007-02-06,182666,23095,-10499,12596,36900,-18984,17916
2007-02-13,187086,22484,-11690,10794,64685,-15011,49674
2007-02-20,202370,23451,-11783,11668,73637,-10136,63501
2007-02-27,221471,22824,-12190,10634,82058,-12322,69736
2007-03-06,201319,21562,-14269,7293,66258,-10419,55839
2007-03-13,216699,21951,-13614,8337,71773,-8119,63654
2007-03-20,182591,21388,-15684,5704,72699,-7062,65637
2007-03-27,192918,21354,-14441,6913,81280,-12474,68806
