date,all,long,short,net
2005-01-04,75999,24458,-11935,12523
2005-01-11,66467,22756,-1364,21392
2005-01-18,64508,21007,-2292,18715
2005-01-25,63971,18616,-2626,15990
2005-02-01,65926,19591,-2898,16693
2005-02-08,64686,15190,-5081,10109
2005-02-15,73291,26973,-4734,22239
2005-02-22,79178,29369,-4213,25156
2005-03-01,79910,38182,-4663,33519
2005-03-08,99583,46451,-5324,41127
2005-03-15,79439,42006,-4182,37824
2005-03-22,71769,31332,-4677,26655
2005-03-29,66380,18587,-6713,11874
2005-04-05,68416,21540,-6056,15484
2005-04-12,82524,26824,-6453,20371
2005-04-19,86549,33817,-7019,26798
2005-04-26,85465,29282,-5571,23711
2005-05-03,88941,25845,-5967,19878
2005-05-10,89238,25907,-5809,20098
2005-05-17,81490,17615,-17181,434
2005-05-24,86387,14760,-22170,-7410
2005-05-31,95073,14346,-25417,-11071
2005-06-07,101520,14668,-23243,-8575
2005-06-14,68775,14197,-31146,-16949
2005-06-21,65232,13979,-26898,-12919
2005-06-28,66998,8962,-28767,-19805
2005-07-05,73218,10990,-31404,-20414
2005-07-12,74117,9067,-31648,-22581
2005-07-19,77596,11268,-36892,-25624
2005-07-26,75763,12276,-32141,-19865
2005-08-02,73519,12377,-29356,-16979
2005-08-09,72461,11090,-26599,-15509
2005-08-16,72786,20459,-18101,2358
2005-08-23,74604,21708,-16210,5498
2005-08-30,77596,18388,-20599,-2211
2005-09-06,80522,25940,-14944,10996
2005-09-13,91701,27410,-8935,18475
2005-09-20,67785,24572,-13994,10578
2005-09-27,77440,27581,-25018,2563
2005-10-04,89889,20074,-36934,-16860
2005-10-11,89400,13716,-36761,-23045
2005-10-18,83729,10591,-31641,-21050
2005-10-25,74286,12541,-26582,-14041
2005-11-01,69583,9163,-23472,-14309
2005-11-08,80390,10489,-29859,-19370
2005-11-15,84441,10175,-33992,-23817
2005-11-22,89837,9056,-42076,-33020
2005-11-29,100047,10936,-44023,-33087
2005-12-06,107224,15567,-41346,-25779
2005-12-13,111268,13586,-21442,-7856
2005-12-20,70230,9425,-17617,-8192
2005-12-27,62736,9474,-21067,-11593
2006-01-03,69591,13026,-28047,-15021
2006-01-10,77079,17074,-21847,-4773
2006-01-17,83135,17411,-20714,-3303
2006-01-24,89537,22028,-19180,2848
2006-01-31,94091,21296,-23206,-1910
2006-02-07,93793,15492,-29554,-14062
2006-02-14,99687,12019,-36663,-24644
2006-02-21,97217,14722,-34603,-19881
2006-02-28,98756,15055,-23244,-8189
2006-03-07,105166,14981,-27325,-12344
2006-03-14,70017,10989,-25621,-14632
2006-03-21,68099,13183,-18418,-5235
2006-03-28,67999,12491,-18775,-6284
2006-04-04,79371,14015,-24699,-10684
2006-04-11,79127,16971,-22595,-5624
2006-04-18,83282,27302,-22208,5094
2006-04-25,93662,35005,-22715,12290
2006-05-02,89073,34133,-15509,18624
2006-05-09,104008,41071,-15304,25767
2006-05-16,110006,39358,-15086,24272
2006-05-23,114772,42928,-12370,30558
2006-05-30,112099,51965,-12268,39697
2006-06-06,105314,33771,-11485,22286
2006-06-13,126043,34221,-12127,22094
2006-06-20,78491,29010,-5608,23402
2006-06-27,78592,17709,-11138,6571
2006-07-03,78658,22169,-10306,11863
2006-07-11,85671,25268,-11519,13749
2006-07-18,88080,28460,-11383,17077
2006-07-25,102104,34685,-12026,22659
2006-08-01,114075,56297,-11294,45003
2006-08-08,128112,65228,-9602,55626
2006-08-15,135944,74152,-10956,63196
2006-08-22,127943,66586,-9770,56816
2006-08-29,130539,66676,-10551,56125
2006-09-05,131836,63587,-9655,53932
2006-09-12,127633,50259,-12678,37581
2006-09-19,104255,60218,-17265,42953
2006-09-26,122122,74642,-17675,56967
2006-10-03,104665,62700,-17754,44946
2006-10-10,101848,44433,-24598,19835
2006-10-17,108510,56447,-23142,33305
2006-10-24,101676,56205,-19040,37165
2006-10-31,126678,80509,-20645,59864
