date,all,am_long,am_short,am_net,lev_long,lev_short,lev_net
2006-06-13,126043,8405,-2994,5411,45090,-14314,30776
2006-06-20,78491,8834,-2872,5962,41443,-8771,32672
2006-06-27,78592,8544,-2794,5750,29961,-13530,16431
2006-07-03,78658,8113,-2931,5182,33107,-12140,20967
2006-07-11,85671,8279,-2089,6190,35618,-15728,19890
2006-07-18,88080,8455,-2265,6190,37261,-12966,24295
2006-07-25,102104,8759,-2319,6440,47400,-16661,30739
2006-08-01,114075,8067,-2306,5761,56694,-17164,39530
2006-08-08,128112,7872,-2032,5840,66302,-12281,54021
2006-08-15,135944,7740,-1990,5750,74224,-13372,60852
2006-08-22,127943,8036,-1935,6101,66667,-13465,53202
2006-08-29,130539,8312,-1974,6338,68325,-13081,55244
2006-09-05,131836,8588,-1878,6710,67834,-12726,55108
2006-09-12,127633,8025,-2841,5184,51081,-15778,35303
2006-09-19,104255,6395,-2847,3548,60045,-15544,44501
2006-09-26,122122,6071,-3007,3064,74768,-18425,56343
2006-10-03,104665,5538,-2969,2569,62733,-17731,45002
2006-10-10,101848,5225,-2992,2233,46255,-21658,24597
2006-10-17,108510,6843,-2989,3854,54550,-23269,31281
2006-10-24,101676,7935,-2076,5859,53329,-17568,35761
2006-10-31,126678,7775,-2105,5670,76770,-16981,59789
2006-11-07,152030,7124,-2085,5039,100097,-17884,82213
2006-11-14,136600,6918,-2539,4379,82668,-14329,68339
2006-11-21,140587,6751,-2072,4679,87732,-17589,70143
2006-11-28,154081,5520,-1530,3990,100053,-12334,87719
2006-12-05,151959,5281,-1526,3755,94106,-13481,80625
2006-12-12,181580,3729,-2491,1238,102903,-15176,87727
2006-12-19,149800,4474,-5808,-1334,99166,-10830,88336
2006-12-26,140289,5060,-6158,-1098,87399,-10645,76754
2007-01-03,137217,4308,-6960,-2652,79303,-11423,67880
2007-01-09,132731,4032,-8039,-4007,69775,-10334,59441
2007-01-16,150691,3371,-9746,-6375,93692,-10801,82891
2007-01-23,163961,3608,-13022,-9414,107489,-10543,96946
2007-01-30,146660,3722,-14092,-10370,86079,-11447,74632
2007-02-06,162238,2638,-14600,-11962,105450,-12810,92640
2007-02-13,150695,2770,-14820,-12050,58076,-17382,40694
2007-02-20,147702,2799,-15200,-12401,65878,-13084,52794
2007-02-27,160234,2817,-16409,-13592,82508,-15835,66673
2007-03-06,152524,1177,-15010,-13833,49875,-23582,26293
2007-03-13,160560,2234,-14911,-12677,37633,-26236,11397
2007-03-20,111646,1694,-16004,-14310,65551,-14661,50890
2007-03-27,111802,2554,-15967,-13413,61246,-15475,45771
2007-04-03,122932,2436,-15967,-13531,72222,-14391,57831
2007-04-10,120468,1890,-16945,-15055,68865,-20071,48794
2007-04-17,134953,1853,-20340,-18487,81747,-16403,65344
2007-04-24,148006,2365,-21885,-19520,96293,-17555,78738
2007-05-01,144051,1749,-24341,-22592,89656,-18752,70904
2007-05-08,134140,1787,-21774,-19987,78644,-16590,62054
2007-05-15,126092,1800,-22567,-20767,64016,-20847,43169
2007-05-22,122261,1689,-22418,-20729,58397,-17038,41359
2007-05-29,129528,2193,-20329,-18136,73074,-15646,57428
2007-06-05,142314,1548,-21389,-19841,85475,-15176,70299
2007-06-12,133395,1929,-19040,-17111,60512,-11703,48809
2007-06-19,133035,1879,-20406,-18527,90346,-11009,79337
2007-06-26,159791,1558,-21421,-19863,117128,-6384,110744
2007-07-03,164639,999,-21207,-20208,119946,-5623,114323
2007-07-10,156362,1514,-21011,-19497,107143,-5021,102122
2007-07-17,173222,2112,-21749,-19637,125733,-5916,119817
