date,all,long,short,net
2005-01-04,302298,140471,-67228,73243
2005-01-11,275461,109497,-72710,36787
2005-01-18,275630,107825,-78259,29566
2005-01-25,273430,107378,-79033,28345
2005-02-01,253116,102388,-74270,28118
2005-02-08,255424,97630,-86455,11175
2005-02-15,262589,109421,-87714,21707
2005-02-22,267860,119318,-80413,38905
2005-03-01,287761,135741,-79060,56681
2005-03-08,296335,143930,-73453,70477
2005-03-15,335503,178724,-67602,111122
2005-03-22,299531,148089,-56328,91761
2005-03-29,281601,139491,-37970,101521
2005-04-05,272946,143487,-37223,106264
2005-04-12,279545,150611,-37267,113344
2005-04-19,280432,152815,-38423,114392
2005-04-26,302084,173826,-36049,137777
2005-05-03,290539,153914,-46186,107728
2005-05-10,282478,134719,-54341,80378
2005-05-17,274382,124569,-68625,55944
2005-05-24,272748,114965,-75456,39509
2005-05-31,255995,113002,-80037,32965
2005-06-07,252151,111796,-72689,39107
2005-06-14,257034,119458,-62597,56861
2005-06-21,289771,162238,-53728,108510
2005-06-28,303385,175520,-45589,129931
2005-07-05,281186,146733,-41859,104874
2005-07-12,269891,124585,-50863,73722
2005-07-19,270001,116572,-62461,54111
2005-07-26,256886,110685,-61663,49022
2005-08-02,244488,118941,-53372,65569
2005-08-09,287839,168613,-50914,117699
2005-08-16,331633,208558,-50951,157607
2005-08-23,331804,206898,-47211,159687
2005-08-30,291894,158841,-49008,109833
2005-09-06,299192,159922,-44670,115252
2005-09-13,321200,175285,-48487,126798
2005-09-20,363315,219963,-61837,158126
2005-09-27,366819,219648,-53548,166100
2005-10-04,363529,229464,-57966,171498
2005-10-11,370844,234060,-56650,177410
2005-10-18,362699,224424,-54000,170424
2005-10-25,339388,206809,-53457,153352
2005-11-01,334470,180554,-49986,130568
2005-11-08,317076,167250,-44139,123111
2005-11-15,324719,177421,-47735,129686
2005-11-22,350603,201765,-38783,162982
2005-11-29,350225,199521,-40616,158905
2005-12-06,341011,208466,-41053,167413
2005-12-13,337574,189931,-33600,156331
2005-12-20,324429,182723,-26553,156170
2005-12-27,320115,179324,-24802,154522
2006-01-03,325524,180688,-29726,150962
2006-01-10,343419,184408,-38602,145806
2006-01-17,361704,191650,-43171,148479
2006-01-24,356080,188928,-46079,142849
2006-01-31,339645,187406,-48156,139250
2006-02-07,341727,180971,-53622,127349
2006-02-14,338143,167910,-48996,118914
2006-02-21,333410,163886,-45202,118684
2006-02-28,339859,169963,-42593,127370
2006-03-07,338325,167144,-46255,120889
2006-03-14,322360,143697,-47757,95940
2006-03-21,319618,149946,-45682,104264
2006-03-28,334042,163056,-42470,120586
2006-04-04,342721,178040,-45832,132208
2006-04-11,342632,175000,-50668,124332
2006-04-18,353757,177870,-47576,130294
2006-04-25,354108,175346,-45968,129378
2006-05-02,359539,177709,-47421,130288
2006-05-09,351933,175709,-41773,133936
2006-05-16,338720,163773,-37616,126157
2006-05-23,316143,144247,-33149,111098
2006-05-30,314494,133475,-31988,101487
2006-06-06,283161,134649,-38753,95896
2006-06-13,288981,138766,-39479,99287
2006-06-20,288148,131864,-41643,90221
2006-06-27,292789,128310,-42686,85624
2006-07-03,292500,131186,-39266,91920
2006-07-11,312684,142194,-40265,101929
2006-07-18,324276,143202,-35828,107374
2006-07-25,315635,132268,-30713,101555
2006-08-01,304907,132781,-30020,102761
2006-08-08,309097,138971,-32873,106098
2006-08-15,313327,132019,-31475,100544
2006-08-22,306171,128897,-32949,95948
2006-08-29,307583,124421,-36705,87716
2006-09-05,319998,133991,-35657,98334
2006-09-12,310510,121455,-37233,84222
2006-09-19,325852,116119,-38251,77868
2006-09-26,322937,108117,-36873,71244
2006-10-03,330065,107570,-38136,69434
2006-10-10,334329,106211,-43762,62449
2006-10-17,329875,107993,-46734,61259
2006-10-24,331598,104099,-48049,56050
2006-10-31,323481,107472,-42756,64716
2006-11-07,335036,121406,-40240,81166
2006-11-14,356575,126907,-38073,88834
2006-11-21,355430,123021,-38728,84293
2006-11-28,349517,120078,-40212,79866
2006-12-05,330530,122145,-38506,83639
2006-12-12,333101,120128,-38299,81829
2006-12-19,337096,109682,-39789,69893
