date,all,long,short,net
2005-01-04,8193,3468,-451,3017
2005-03-08,37666,7588,-485,7103
2005-03-29,27064,10400,-350,10050
2005-04-19,27632,8989,-904,8085
2005-04-26,27672,8452,-666,7786
2005-05-03,25339,7322,-660,6662
2005-05-10,30104,6983,-930,6053
2005-05-17,27358,6751,-923,5828
2005-05-24,29330,7160,-350,6810
2005-05-31,28334,7117,-560,6557
2005-06-07,39374,6993,-426,6567
2005-07-05,17351,4964,-200,4764
2005-07-19,22289,5592,0,5592
2005-08-02,25351,6505,0,6505
2005-08-09,26508,6323,-285,6038
2005-08-16,28589,6599,-268,6331
2005-08-23,30684,7288,-891,6397
2005-08-30,31533,6556,-1889,4667
2005-09-06,39046,6944,-2485,4459
2005-09-13,28583,11977,-1942,10035
2005-09-20,34289,12465,-1533,10932
2005-09-27,33706,11050,-1873,9177
2005-10-04,35013,8548,-3119,5429
2005-10-11,40021,10585,-2070,8515
2005-10-18,37182,10338,-1511,8827
2005-10-25,36146,9985,-1531,8454
2005-11-01,39407,11664,-1597,10067
2005-11-08,46126,17192,-3618,13574
2005-11-15,45105,17091,-3404,13687
2005-11-22,49715,19345,-3227,16118
2005-11-29,51511,18654,-4034,14620
2005-12-06,63273,16428,-7739,8689
2005-12-13,34149,21433,-3482,17951
2005-12-20,31881,18660,-2457,16203
2005-12-27,31423,16655,-2588,14067
2006-01-03,31791,17354,-4424,12930
2006-01-10,35512,16791,-4953,11838
2006-01-17,36866,16234,-5808,10426
2006-01-24,35831,15203,-5785,9418
2006-01-31,35174,14150,-6307,7843
2006-02-07,36764,12288,-7392,4896
2006-02-14,35210,11059,-7591,3468
2006-02-21,41164,13535,-9660,3875
2006-02-28,44211,14543,-10132,4411
2006-03-07,51160,13243,-11614,1629
2006-03-14,33840,13105,-2751,10354
2006-03-21,36790,15319,-3157,12162
2006-03-28,37277,16531,-3101,13430
2006-04-04,34521,14575,-2787,11788
2006-04-11,34691,12918,-4538,8380
2006-04-18,34142,13606,-3529,10077
2006-04-25,34805,10496,-5362,5134
2006-05-02,32087,8640,-4889,3751
2006-05-09,36458,10608,-5548,5060
2006-05-16,35674,7694,-5367,2327
2006-05-23,42666,8553,-7011,1542
2006-05-30,41581,7917,-5580,2337
2006-06-06,51121,8559,-7733,826
2006-06-13,36395,14259,-4459,9800
2006-06-20,36075,12660,-2722,9938
2006-06-27,35809,11864,-3928,7936
2006-07-03,36550,11806,-3394,8412
2006-07-11,35444,9626,-3417,6209
2006-07-18,37100,7896,-3785,4111
2006-07-25,39814,6865,-2909,3956
2006-08-01,40180,5476,-3373,2103
2006-08-08,40874,6491,-3907,2584
2006-08-15,43279,6676,-4660,2016
2006-08-22,40092,3760,-5441,-1681
2006-08-29,40026,3487,-4685,-1198
2006-09-05,48496,3342,-5534,-2192
2006-09-12,34729,16886,-2278,14608
2006-09-19,36055,16232,-2395,13837
2006-09-26,38812,16529,-3347,13182
2006-10-03,34882,15239,-2973,12266
2006-10-10,37858,15907,-3389,12518
2006-10-17,41230,16046,-3139,12907
2006-10-24,38345,15830,-3421,12409
2006-10-31,42211,15849,-4177,11672
2006-11-07,43532,16532,-4168,12364
2006-11-14,46285,16716,-4337,12379
2006-11-21,45892,16428,-4402,12026
2006-11-28,41763,13239,-3962,9277
2006-12-05,54531,13126,-3636,9490
2006-12-12,27950,6801,-325,6476
2006-12-19,33381,7164,-1898,5266
2006-12-26,32413,7664,-1625,6039
2007-01-03,35282,5872,-1171,4701
2007-01-09,36207,6546,-2293,4253
2007-01-16,34203,6678,-1943,4735
2007-01-23,35585,6952,-2162,4790
2007-01-30,37813,8248,-3328,4920
2007-02-06,39601,8673,-3899,4774
2007-02-13,42349,8748,-4169,4579
2007-02-20,44654,9590,-4391,5199
2007-02-27,55499,11112,-4427,6685
2007-03-06,88406,11092,-8025,3067
2007-03-13,46160,20563,-1731,18832
2007-03-20,46739,20129,-1665,18464
2007-03-27,48520,25372,-1975,23397
2007-04-03,47209,20085,-2017,18068
2007-04-10,47281,21054,-1515,19539
2007-04-17,52726,23259,-1410,21849
2007-04-24,53211,25318,-3418,21900
2007-05-01,55722,26321,-3358,22963
2007-05-08,59515,27516,-4128,23388
2007-05-15,59311,25413,-4753,20660
2007-05-22,58467,25031,-4406,20625
2007-05-29,57949,24881,-4937,19944
2007-06-05,70787,23701,-4800,18901
2007-06-12,38023,15554,-815,14739
2007-06-19,38741,18201,-1031,17170
2007-06-26,41165,19415,-1122,18293
2007-07-03,39803,20895,-2686,18209
2007-07-10,40358,19306,-3364,15942
2007-07-17,42194,19188,-3594,15594
2007-07-24,43857,18878,-5186,13692
2007-07-31,47847,13816,-7070,6746
2007-08-07,49025,13201,-6603,6598
2007-08-14,50090,13840,-7655,6185
2007-08-21,57553,17636,-6929,10707
2007-08-28,57715,21660,-6299,15361
2007-09-04,57176,23514,-4205,19309
2007-09-11,93038,18820,-3737,15083
2007-09-18,70323,32258,-4194,28064
2007-09-25,64413,29486,-3964,25522
2007-10-02,63823,29013,-4967,24046
2007-10-09,65159,28827,-4646,24181
2007-10-16,65419,28903,-4997,23906
2007-10-23,62922,26627,-5330,21297
2007-10-30,63562,23300,-6699,16601
2007-11-06,64369,20612,-5627,14985
2007-11-13,59419,19510,-2832,16678
2007-11-20,58768,18496,-2896,15600
2007-11-27,58716,18129,-3096,15033
2007-12-04,59359,18053,-3412,14641
2007-12-11,66767,18618,-3438,15180
2007-12-18,44647,17864,-975,16889
2007-12-24,48541,18896,-3025,15871
2007-12-31,51317,17638,-4035,13603
2008-01-08,58270,15708,-3964,11744
2008-01-15,64602,13766,-8241,5525
2008-01-22,74089,18674,-2488,16186
2008-01-29,78976,17147,-7123,10024
2008-02-05,81267,15630,-6814,8816
2008-02-12,84263,17200,-7379,9821
2008-02-19,85269,15095,-7620,7475
2008-02-26,85300,15389,-9057,6332
2008-03-04,86600,15401,-8113,7288
2008-03-11,93078,15346,-7613,7733
2008-03-18,45171,18038,-627,17411
2008-03-25,45723,20289,-3037,17252
2008-04-01,47314,19051,-2912,16139
2008-04-08,49146,18734,-4243,14491
2008-04-15,50186,14894,-1187,13707
2008-04-22,54363,14739,-2969,11770
2008-04-29,57393,18737,-2528,16209
2008-05-06,59187,24380,-4134,20246
2008-05-13,59462,24413,-5568,18845
2008-05-20,60109,23277,-5383,17894
2008-05-27,62789,22302,-5781,16521
2008-06-03,65728,22244,-6028,16216
2008-06-10,80398,22014,-6030,15984
2008-06-17,31296,8283,-4639,3644
2008-06-24,35471,7203,-5744,1459
2008-07-01,41607,7344,-6222,1122
2008-07-08,47401,5775,-5078,697
2008-07-15,53567,8118,-7021,1097
2008-07-22,52053,7655,-6553,1102
2008-07-29,59910,7952,-8666,-714
2008-08-05,65794,8261,-12478,-4217
2008-08-12,58577,9071,-9599,-528
2008-08-19,67231,13641,-8768,4873
2008-08-26,68739,15469,-13993,1476
2008-09-02,73527,15935,-14908,1027
2008-09-09,94780,10311,-19138,-8827
2008-09-16,52680,7330,-12946,-5616
2008-09-23,53277,8877,-15069,-6192
2008-09-30,59304,9449,-11333,-1884
2008-10-07,72378,13355,-19626,-6271
2008-10-14,86774,14450,-18827,-4377
2008-10-21,82433,15675,-9836,5839
