date,all,am_long,am_short,am_net,lev_long,lev_short,lev_net
2006-06-13,36395,3140,-400,2740,11067,-2926,8141
2006-06-20,36075,2555,-1272,1283,10365,-2160,8205
2006-06-27,35809,2889,-1333,1556,8709,-3189,5520
2006-07-03,36550,2714,-1347,1367,8227,-1832,6395
2006-07-11,35444,2275,-425,1850,7703,-2481,5222
2006-07-18,37100,1739,-408,1331,6610,-3117,3493
2006-07-25,39814,2795,-541,2254,4779,-3494,1285
2006-08-01,40180,2795,-438,2357,5294,-3746,1548
2006-08-08,40874,2661,-438,2223,5568,-3284,2284
2006-08-15,43279,3261,-1063,2198,4528,-4320,208
2006-08-22,40092,2611,-1063,1548,2434,-5119,-2685
2006-08-29,40026,2279,-1063,1216,3145,-5775,-2630
2006-09-05,48496,2013,-1063,950,3301,-6340,-3039
2006-09-12,34729,2270,-1063,1207,18285,-1653,16632
2006-09-19,36055,2270,-1063,1207,17368,-1570,15798
2006-09-26,38812,1910,-1408,502,18065,-1727,16338
2006-10-03,34882,1910,-1063,847,16158,-2043,14115
2006-10-10,37858,2360,-1063,1297,17100,-2599,14501
2006-10-17,41230,2592,-1063,1529,17606,-1743,15863
2006-10-24,38345,3141,-1063,2078,15879,-2241,13638
2006-10-31,42211,3101,-1120,1981,17313,-3426,13887
2006-11-07,43532,3553,-1331,2222,16016,-3581,12435
2006-11-14,46285,3967,-1001,2966,16118,-3827,12291
2006-11-21,45892,3343,-1306,2037,16425,-3567,12858
2006-11-28,41763,3083,-1567,1516,12720,-2697,10023
2006-12-05,54531,2983,-1077,1906,12713,-2371,10342
2006-12-12,27950,1910,-452,1458,6755,0,6755
2006-12-19,33381,1910,-452,1458,8145,-1533,6612
2006-12-26,32413,1910,-452,1458,8990,-450,8540
2007-01-03,35282,1910,-552,1358,6701,-459,6242
2007-01-09,36207,1910,-552,1358,6071,-1624,4447
2007-01-16,34203,1910,-552,1358,6357,-1574,4783
2007-01-23,35585,2468,-552,1916,5445,-1608,3837
2007-01-30,37813,2796,-548,2248,7579,-2086,5493
2007-02-06,39601,2724,-417,2307,9261,-3034,6227
2007-02-13,42349,2966,-572,2394,8761,-3471,5290
2007-02-20,44654,2889,-287,2602,10547,-3391,7156
2007-02-27,55499,2925,-387,2538,10927,-3209,7718
2007-03-06,88406,4888,-1119,3769,9100,-5459,3641
2007-03-13,46160,4893,-387,4506,18510,-235,18275
2007-03-20,46739,5665,-387,5278,17520,-1106,16414
2007-03-27,48520,12038,-387,11651,15930,-1611,14319
2007-04-03,47209,5201,-387,4814,17785,-2357,15428
2007-04-10,47281,5397,-387,5010,16332,-1788,14544
2007-04-17,52726,5424,-387,5037,19322,-1810,17512
