date,all,long,short,net
2010-06-15,62170,5369,-4621,748
2010-06-22,37543,5705,-3993,1712
2010-06-29,41448,7324,-3125,4199
2010-07-06,40783,6616,-4764,1852
2010-07-13,39091,4819,-6256,-1437
2010-07-20,41245,6482,-4700,1782
2010-07-27,43524,7542,-4986,2556
2010-08-03,44759,10430,-4278,6152
2010-08-10,46277,9629,-3934,5695
2010-08-17,48402,13638,-4416,9222
2010-08-24,44608,9852,-4597,5255
2010-08-31,43120,9186,-5333,3853
2010-09-07,51637,6640,-4404,2236
2010-09-14,53351,11191,-6113,5078
2010-09-21,39273,12139,-5698,6441
2010-09-28,44430,17723,-3744,13979
2010-10-05,49007,21368,-3873,17495
2010-10-12,45517,17192,-4613,12579
2010-10-19,45097,16844,-4259,12585
2010-10-26,48054,19498,-3291,16207
2010-11-02,48467,19951,-4130,15821
2010-11-09,50875,22612,-6753,15859
2010-11-16,47805,17265,-5617,11648
2010-11-23,50667,17610,-6959,10651
2010-11-30,48594,15798,-5617,10181
2010-12-07,48189,18228,-3938,14290
2010-12-14,47633,13260,-3165,10095
2010-12-21,36880,10095,-3118,6977
2010-12-28,36546,9844,-2642,7202
2011-01-04,40020,13354,-3352,10002
2011-01-11,42612,15079,-3129,11950
2011-01-18,45419,16145,-5034,11111
2011-01-25,49782,18658,-6530,12128
2011-02-01,60570,21546,-4347,17199
2011-02-08,55629,15536,-5398,10138
2011-02-15,58212,17051,-4130,12921
2011-02-22,57762,16433,-5595,10838
2011-03-01,58911,13825,-4242,9583
2011-03-08,59316,15414,-3842,11572
2011-03-15,63793,11942,-2887,9055
2011-03-22,44989,15576,-4108,11468
2011-03-29,58786,24250,-4336,19914
2011-04-05,58807,26687,-4945,21742
2011-04-12,59261,26079,-4368,21711
2011-04-19,53057,20437,-4538,15899
2011-04-26,57431,21083,-4819,16264
2011-05-03,65524,29601,-6358,23243
2011-05-10,60500,25323,-4741,20582
2011-05-17,77478,16513,-3181,13332
2011-05-24,77677,15744,-3180,12564
2011-05-31,78430,16735,-3186,13549
2011-06-07,70449,10261,-5554,4707
2011-06-14,81758,10397,-3046,7351
2011-06-21,41287,10436,-3270,7166
2011-06-28,39596,10841,-2366,8475
2011-07-05,49758,18169,-4688,13481
2011-07-12,73447,25474,-3138,22336
2011-07-19,76111,24951,-2167,22784
2011-07-26,74390,19265,-2351,16914
2011-08-02,72896,16261,-2947,13314
2011-08-09,66231,15779,-1176,14603
2011-08-16,53860,8795,-6086,2709
2011-08-23,52216,7412,-1283,6129
2011-08-30,52814,7037,-3844,3193
2011-09-06,51603,8213,-2330,5883
2011-09-13,62157,8306,-2987,5319
2011-09-20,32752,7428,-2708,4720
2011-09-27,47828,5827,-3307,2520
