date,all,am_long,am_short,am_net,lev_long,lev_short,lev_net
2010-06-15,62170,2561,-4230,-1669,6753,-9499,-2746
2010-06-22,37543,2151,-3879,-1728,6645,-9296,-2651
2010-06-29,41448,2491,-5049,-2558,8275,-8774,-499
2010-07-06,40783,2168,-4990,-2822,7093,-9061,-1968
2010-07-13,39091,2489,-3794,-1305,5018,-12292,-7274
2010-07-20,41245,2787,-4576,-1789,6864,-10444,-3580
2010-07-27,43524,2720,-5048,-2328,8714,-11017,-2303
2010-08-03,44759,2701,-5758,-3057,11544,-10987,557
2010-08-10,46277,2709,-5794,-3085,10898,-10760,138
2010-08-17,48402,2944,-6493,-3549,14429,-11745,2684
2010-08-24,44608,2625,-6996,-4371,11675,-10454,1221
2010-08-31,43120,3170,-6177,-3007,10493,-10838,-345
2010-09-07,51637,3379,-4667,-1288,6239,-10409,-4170
2010-09-14,53351,3264,-3792,-528,11421,-14290,-2869
2010-09-21,39273,3325,-4601,-1276,12890,-11440,1450
2010-09-28,44430,3136,-4959,-1823,17677,-10684,6993
2010-10-05,49007,2651,-4831,-2180,21119,-11993,9126
2010-10-12,45517,2811,-4899,-2088,17229,-12952,4277
2010-10-19,45097,2938,-4812,-1874,16824,-11756,5068
2010-10-26,48054,3493,-4595,-1102,19215,-11715,7500
2010-11-02,48467,3379,-4353,-974,19420,-12053,7367
2010-11-09,50875,3706,-4114,-408,20196,-13763,6433
2010-11-16,47805,3624,-4258,-634,16694,-13151,3543
2010-11-23,50667,3669,-3790,-121,16772,-15298,1474
2010-11-30,48594,3283,-3935,-652,14749,-12800,1949
2010-12-07,48189,3593,-3204,389,17261,-11768,5493
2010-12-14,47633,3624,-2961,663,14234,-11379,2855
2010-12-21,36880,3233,-3537,-304,11916,-7936,3980
2010-12-28,36546,3297,-3379,-82,11515,-7636,3879
2011-01-04,40020,3478,-3233,245,14507,-9035,5472
2011-01-11,42612,3491,-3356,135,16615,-7459,9156
2011-01-18,45419,3583,-3462,121,18040,-10037,8003
2011-01-25,49782,3304,-3450,-146,21129,-12331,8798
2011-02-01,60570,3538,-2646,892,20693,-10959,9734
2011-02-08,55629,3605,-2593,1012,15410,-11153,4257
2011-02-15,58212,4184,-2397,1787,15993,-8319,7674
2011-02-22,57762,4301,-2822,1479,15587,-8502,7085
2011-03-01,58911,4525,-2347,2178,14295,-8550,5745
2011-03-08,59316,4189,-2272,1917,15367,-7851,7516
2011-03-15,63793,3219,-2173,1046,11382,-6609,4773
2011-03-22,44989,2757,-1873,884,16503,-9117,7386
2011-03-29,58786,2870,-1035,1835,25746,-11596,14150
2011-04-05,58807,3214,-1297,1917,28133,-11956,16177
2011-04-12,59261,2919,-1353,1566,27058,-12124,14934
2011-04-19,53057,3070,-2003,1067,20709,-10741,9968
2011-04-26,57431,3901,-1436,2465,22983,-13064,9919
2011-05-03,65524,4206,-1265,2941,30483,-18401,12082
2011-05-10,60500,3832,-1507,2325,26977,-16473,10504
2011-05-17,77478,3647,-1384,2263,17967,-7169,10798
2011-05-24,77677,3664,-1935,1729,17637,-6789,10848
2011-05-31,78430,4114,-1539,2575,17423,-7324,10099
2011-06-07,70449,3057,-2216,841,12350,-9721,2629
2011-06-14,81758,3226,-2126,1100,10913,-7618,3295
2011-06-21,41287,2732,-2409,323,11303,-9419,1884
2011-06-28,39596,2663,-2451,212,11362,-8819,2543
2011-07-05,49758,3188,-1873,1315,20546,-11810,8736
2011-07-12,73447,3731,-2021,1710,28654,-9276,19378
2011-07-19,76111,3777,-2247,1530,30071,-8715,21356
2011-07-26,74390,3769,-3233,536,25285,-6197,19088
2011-08-02,72896,3382,-4465,-1083,23508,-7483,16025
2011-08-09,66231,3059,-4138,-1079,18022,-5315,12707
2011-08-16,53860,2810,-2798,12,8961,-10984,-2023
2011-08-23,52216,2870,-3534,-664,8678,-3639,5039
2011-08-30,52814,3349,-2961,388,8284,-9009,-725
2011-09-06,51603,3270,-3903,-633,8147,-5477,2670
2011-09-13,62157,3149,-3593,-444,8230,-6665,1565
2011-09-20,32752,3016,-3229,-213,7204,-6815,389
2011-09-27,47828,3393,-3650,-257,2709,-7212,-4503
2011-10-04,50342,2933,-4204,-1271,7532,-6162,1370
2011-10-11,39332,2533,-2980,-447,12482,-7436,5046
2011-10-18,50365,3221,-3227,-6,8421,-5906,2515
2011-10-25,53649,3567,-3484,83,7436,-7457,-21
2011-11-01,56785,3831,-3767,64,10340,-5332,5008
2011-11-08,42675,3219,-2850,369,12064,-7705,4359
2011-11-15,45518,3085,-2766,319,15223,-6007,9216
2011-11-22,61638,3058,-3231,-173,11475,-5863,5612
2011-11-29,59620,2962,-2960,2,10285,-7182,3103
2011-12-06,66743,3807,-2814,993,15663,-5831,9832
2011-12-13,106167,3846,-2821,1025,18052,-5671,12381
2011-12-20,45509,3000,-2625,375,17228,-7121,10107
2011-12-27,44765,3306,-2462,844,16261,-7980,8281
2012-01-03,47962,3442,-2698,744,19442,-8854,10588
2012-01-10,50249,3343,-2769,574,20041,-8100,11941
2012-01-17,50886,3107,-2752,355,20314,-8521,11793
2012-01-24,51716,3411,-2394,1017,21885,-9195,12690
2012-01-31,51836,3233,-2534,699,22943,-10220,12723
2012-02-07,54890,3486,-2212,1274,25321,-12507,12814
2012-02-14,53993,3508,-2275,1233,24451,-10962,13489
2012-02-21,53157,3626,-2167,1459,24371,-10255,14116
2012-02-28,55949,3981,-2230,1751,26064,-10356,15708
2012-03-06,54004,3446,-2566,880,23283,-9337,13946
2012-03-13,95629,4447,-1471,2976,28396,-9047,19349
2012-03-20,53205,4551,-1349,3202,25737,-11073,14664
2012-03-27,53369,4560,-1451,3109,24729,-11049,13680
2012-04-03,52465,4479,-1210,3269,23707,-9188,14519
2012-04-10,49867,4027,-1938,2089,21475,-9931,11544
2012-04-17,51736,4625,-1611,3014,22285,-10592,11693
2012-04-24,50342,4076,-2240,1836,21637,-8531,13106
2012-05-01,56222,4288,-1727,2561,27310,-10562,16748
2012-05-08,51824,3901,-2882,1019,22850,-11445,11405
2012-05-15,50060,3871,-2824,1047,21717,-9088,12629
2012-05-22,67190,4752,-3184,1568,15983,-7395,8588
2012-05-29,68734,4509,-2376,2133,12414,-8816,3598
2012-06-05,72252,4083,-3780,303,11812,-6524,5288
2012-06-12,88781,4338,-2174,2164,12704,-7876,4828
2012-06-19,38715,3838,-305,3533,12558,-11287,1271
2012-06-26,45307,3350,-651,2699,19087,-9030,10057
2012-07-03,45453,3938,-364,3574,17654,-9666,7988
2012-07-10,43280,3798,-574,3224,15937,-7831,8106
2012-07-17,41606,3242,-511,2731,13668,-8968,4700
2012-07-24,39580,3102,-671,2431,13336,-8512,4824
2012-07-31,49096,3394,-546,2848,22329,-10446,11883
2012-08-07,52382,3501,-693,2808,24355,-11159,13196
2012-08-14,52112,3502,-785,2717,24187,-10522,13665
2012-08-21,56637,3616,-718,2898,27588,-11366,16222
2012-08-28,58876,3718,-892,2826,28768,-9791,18977
2012-09-04,56223,3531,-883,2648,25965,-10212,15753
2012-09-11,62974,3566,-803,2763,28480,-11359,17121
2012-09-18,75855,4373,-247,4126,31924,-12122,19802
2012-09-25,60437,4266,-679,3587,34892,-9700,25192
2012-10-02,62042,3979,-844,3135,34685,-10093,24592
2012-10-09,57807,3936,-800,3136,31372,-8073,23299
2012-10-16,60449,4008,-770,3238,31968,-10515,21453
2012-10-23,55166,4090,-907,3183,25023,-8485,16538
2012-10-30,53837,4351,-807,3544,22337,-9291,13046
2012-11-06,51112,4603,-563,4040,20008,-7269,12739
2012-11-13,50635,4117,-1105,3012,17408,-9778,7630
2012-11-20,48149,4348,-515,3833,11777,-13151,-1374
2012-11-27,48110,4942,-509,4433,12319,-10863,1456
2012-12-04,47680,5284,-458,4826,14709,-7465,7244
2012-12-11,50665,4938,0,4938,19131,-9326,9805
2012-12-18,77875,6935,0,6935,17634,-5585,12049
2012-12-24,48053,5672,0,5672,18812,-6937,11875
2012-12-31,46805,5799,0,5799,15728,-7401,8327
2013-01-08,46682,6057,0,6057,15790,-8200,7590
2013-01-15,51142,6157,0,6157,19294,-10850,8444
2013-01-22,55139,6102,-26,6076,22221,-11700,10521
2013-01-29,57873,6279,-93,6186,23529,-13810,9719
2013-02-05,58609,6443,-86,6357,25661,-11331,14330
2013-02-12,61689,6456,-268,6188,26882,-12241,14641
2013-02-19,61804,6484,-190,6294,26493,-10981,15512
2013-02-26,62136,5551,-302,5249,27088,-11268,15820
2013-03-05,69220,6142,-363,5779,30182,-14914,15268
2013-03-12,102701,6908,-13,6895,27385,-13319,14066
2013-03-19,53674,5279,-208,5071,29148,-9644,19504
2013-03-26,55859,4879,-275,4604,29359,-10749,18610
2013-04-02,56703,5233,-137,5096,30733,-11583,19150
2013-04-09,55463,4158,-104,4054,30078,-11887,18191
2013-04-16,57360,3800,-95,3705,31854,-10460,21394
2013-04-23,59475,3890,-298,3592,33473,-9344,24129
2013-04-30,60731,4559,-207,4352,33546,-11167,22379
2013-05-07,60180,4807,-211,4596,33159,-13064,20095
