date,all,long,short,net
2010-06-15,1132309,67613,-83149,-15536
2010-06-22,822092,67766,-72899,-5133
2010-06-29,850401,69820,-70834,-1014
2010-07-06,883425,64842,-85465,-20623
2010-07-13,874896,63843,-98538,-34695
2010-07-20,870890,66009,-95334,-29325
2010-07-27,868087,65268,-92454,-27186
2010-08-03,865807,64806,-90058,-25252
2010-08-10,870141,67131,-91966,-24835
2010-08-17,884624,71973,-90359,-18386
2010-08-24,910530,66850,-96389,-29539
2010-08-31,938443,67684,-104198,-36514
2010-09-07,943773,60997,-108961,-47964
2010-09-14,1103826,65772,-111424,-45652
2010-09-21,779357,54164,-82123,-27959
2010-09-28,811413,62349,-76660,-14311
2010-10-05,829851,73698,-76889,-3191
2010-10-12,843960,68702,-77112,-8410
2010-10-19,854075,71744,-77980,-6236
2010-10-26,869680,78107,-73923,4184
2010-11-02,879024,82688,-75060,7628
2010-11-09,904392,82945,-80798,2147
2010-11-16,921238,86215,-85101,1114
2010-11-23,936881,79605,-92002,-12397
2010-11-30,941143,77469,-82306,-4837
2010-12-07,980643,75408,-79933,-4525
2010-12-14,1109473,83287,-71300,11987
2010-12-21,758336,71031,-70957,74
2010-12-28,769754,68750,-74162,-5412
2011-01-04,776403,72171,-76924,-4753
2011-01-11,793466,82253,-76724,5529
2011-01-18,810682,75954,-82285,-6331
2011-01-25,837948,82941,-82989,-48
2011-02-01,855085,83521,-84313,-792
2011-02-08,878168,76924,-93938,-17014
2011-02-15,893447,78530,-94614,-16084
2011-02-22,917177,83311,-101338,-18027
2011-03-01,946217,78801,-96475,-17674
2011-03-08,979528,78626,-97692,-19066
2011-03-15,1173662,81187,-103701,-22514
2011-03-22,808947,66378,-93228,-26850
2011-03-29,826332,72854,-95623,-22769
2011-04-05,838763,83505,-93573,-10068
2011-04-12,843173,78729,-101382,-22653
2011-04-19,859929,72895,-106650,-33755
2011-04-26,872221,83074,-95228,-12154
2011-05-03,885078,93482,-91735,1747
2011-05-10,863175,82166,-87896,-5730
2011-05-17,870469,80938,-85862,-4924
2011-05-24,896257,83607,-99834,-16227
2011-05-31,905541,86812,-106898,-20086
2011-06-07,948917,85698,-108808,-23110
2011-06-14,1072737,81652,-101328,-19676
2011-06-21,771574,70743,-88173,-17430
2011-06-28,767317,68689,-85211,-16522
2011-07-05,767993,72107,-95655,-23548
2011-07-12,795442,83477,-84875,-1398
2011-07-19,792364,71532,-84412,-12880
2011-07-26,802406,75764,-85577,-9813
2011-08-02,855617,82089,-86501,-4412
2011-08-09,1011909,69741,-116810,-47069
2011-08-16,977983,61400,-133380,-71980
2011-08-23,1062071,66810,-151303,-84493
2011-08-30,1113795,58329,-166243,-107914
2011-09-06,1193021,60375,-168492,-108117
2011-09-13,1322673,64482,-163271,-98789
2011-09-20,849368,57426,-128659,-71233
2011-09-27,881093,59783,-127764,-67981
2011-10-04,925564,56382,-124086,-67704
2011-10-11,886848,54846,-118412,-63566
2011-10-18,892321,52644,-123260,-70616
2011-10-25,896677,54024,-118743,-64719
2011-11-01,859816,57346,-113548,-56202
2011-11-08,874939,55439,-109398,-53959
2011-11-15,897885,62716,-108139,-45423
2011-11-22,901580,53817,-110744,-56927
2011-11-29,902281,48822,-109425,-60603
2011-12-06,926993,58477,-102580,-44103
2011-12-13,1023384,71350,-106964,-35614
2011-12-20,745391,58312,-95575,-37263
2011-12-27,764761,54238,-98727,-44489
2012-01-03,788830,56905,-95016,-38111
2012-01-10,755841,61440,-100473,-39033
2012-01-17,766599,59805,-105451,-45646
2012-01-24,794994,64829,-105525,-40696
2012-01-31,799299,76615,-109187,-32572
2012-02-07,798596,73919,-102558,-28639
2012-02-14,796294,71630,-112429,-40799
2012-02-21,808052,74736,-110657,-35921
2012-02-28,811993,80391,-104618,-24227
2012-03-06,846787,79292,-109191,-29899
2012-03-13,967328,87438,-104556,-17118
2012-03-20,761130,78944,-110947,-32003
2012-03-27,772728,81917,-110007,-28090
2012-04-03,776067,83131,-115234,-32103
2012-04-10,790586,86798,-113035,-26237
2012-04-17,796135,92587,-108560,-15973
2012-04-24,805068,82948,-110424,-27476
2012-05-01,816564,94620,-98204,-3584
2012-05-08,822718,90142,-109516,-19374
2012-05-15,851882,87753,-99319,-11566
2012-05-22,873488,74029,-108494,-34465
2012-05-29,881189,71857,-113173,-41316
2012-06-05,933308,67549,-104261,-36712
2012-06-12,1016255,66961,-104564,-37603
2012-06-19,740602,61807,-86991,-25184
2012-06-26,774074,74284,-91716,-17432
2012-07-03,773321,71090,-89242,-18152
2012-07-10,794026,68187,-94058,-25871
2012-07-17,801482,67232,-85482,-18250
2012-07-24,817472,61689,-84997,-23308
2012-07-31,781796,71955,-78374,-6419
2012-08-07,802712,80950,-75769,5181
