date,all,am_long,am_short,am_net,lev_long,lev_short,lev_net
2017-01-03,628650,287912,-209891,78021,83758,-106202,-22444
2017-01-10,628415,295794,-206208,89586,78471,-120400,-41929
2017-01-17,624477,295307,-197207,98100,71823,-128768,-56945
2017-01-24,639223,292964,-189087,103877,77494,-133301,-55807
2017-01-31,636204,295834,-185634,110200,76719,-128575,-51856
2017-02-07,647479,298098,-189463,108635,72947,-131054,-58107
2017-02-14,675290,300530,-187174,113356,77846,-125916,-48070
2017-02-21,693015,305925,-177664,128261,76868,-121351,-44483
2017-02-28,717622,304925,-173848,131077,83432,-128503,-45071
2017-03-07,742520,306351,-173436,132915,93244,-120935,-27691
2017-03-14,801763,317987,-174226,143761,89702,-129193,-39491
2017-03-21,622785,313697,-187420,126277,72622,-128073,-55451
2017-03-28,634041,315451,-183859,131592,77849,-125222,-47373
2017-04-04,625889,307667,-178178,129489,78175,-119173,-40998
2017-04-11,631099,306264,-175128,131136,80993,-120927,-39934
2017-04-18,642634,304437,-172932,131505,83407,-124394,-40987
2017-04-25,653341,302881,-159374,143507,90765,-128798,-38033
2017-05-02,656419,311069,-161343,149726,81482,-124678,-43196
2017-05-09,680155,296728,-169963,126765,85540,-126493,-40953
2017-05-16,684563,297570,-174124,123446,81928,-131181,-49253
2017-05-23,691817,293984,-167944,126040,88435,-134594,-46159
2017-05-30,695192,299202,-169958,129244,93881,-137075,-43194
2017-06-06,706889,292008,-163660,128348,92911,-138007,-45096
2017-06-13,785893,294696,-165348,129348,91408,-132180,-40772
2017-06-20,605483,308100,-158550,149550,64313,-118394,-54081
2017-06-27,616094,299070,-163477,135593,72011,-116685,-44674
2017-07-03,613110,295738,-168427,127311,73828,-98432,-24604
2017-07-11,614457,299765,-160902,138863,75405,-98146,-22741
2017-07-18,631177,304919,-160460,144459,81971,-108625,-26654
2017-07-25,654894,318832,-165157,153675,83858,-113585,-29727
2017-08-01,668674,326664,-165126,161538,79108,-127341,-48233
2017-08-08,681713,337040,-165705,171335,76392,-130679,-54287
2017-08-15,695177,330106,-164654,165452,87594,-118690,-31096
2017-08-22,713658,324197,-165033,159164,95086,-116829,-21743
2017-08-29,731582,329571,-168613,160958,102946,-116656,-13710
2017-09-05,735493,324852,-164723,160129,92953,-115559,-22606
2017-09-12,810813,341428,-164441,176987,92932,-122627,-29695
2017-09-19,661762,363842,-165552,198290,70295,-130332,-60037
2017-09-26,657752,350922,-164887,186035,71178,-130992,-59814
2017-10-03,650232,330121,-163897,166224,73270,-119914,-46644
2017-10-10,665557,329610,-162270,167340,78794,-120208,-41414
2017-10-17,669706,327509,-164142,163367,79270,-117896,-38626
2017-10-24,692744,325035,-163325,161710,81580,-118544,-36964
2017-10-31,701203,319199,-166047,153152,83202,-113829,-30627
2017-11-07,715963,314136,-166475,147661,90328,-127753,-37425
2017-11-14,720635,310877,-163387,147490,95080,-125688,-30608
2017-11-21,738955,305927,-163160,142767,98590,-125230,-26640
2017-11-28,756344,309201,-163761,145440,99863,-128337,-28474
2017-12-05,780215,295351,-159878,135473,106236,-128540,-22304
2017-12-12,863122,300830,-160804,140026,89150,-124302,-35152
2017-12-19,641391,316447,-161453,154994,81213,-114159,-32946
2017-12-26,663937,315977,-163264,152713,85425,-116550,-31125
2018-01-02,662131,325756,-163384,162372,69393,-103396,-34003
2018-01-09,704939,352879,-164173,188706,70378,-125435,-55057
2018-01-16,719920,355864,-166194,189670,85071,-124619,-39548
2018-01-23,753197,363756,-162238,201518,92258,-121770,-29512
2018-01-30,755004,345036,-156527,188509,100245,-105870,-5625
2018-02-06,764134,331833,-155497,176336,90405,-98733,-8328
2018-02-13,745984,308061,-155108,152953,85290,-99067,-13777
2018-02-20,743270,322053,-151132,170921,75499,-108621,-33122
2018-02-27,751478,326170,-146268,179902,76565,-105300,-28735
2018-03-06,744178,306569,-147962,158607,77608,-99052,-21444
2018-03-13,841393,308898,-143638,165260,78465,-108207,-29742
2018-03-20,584448,285701,-135265,150436,66779,-88532,-21753
2018-03-27,645461,255565,-139681,115884,83659,-80879,2780
2018-04-03,672875,251341,-150205,101136,85108,-83782,1326
2018-04-10,682253,246082,-141400,104682,80263,-85244,-4981
2018-04-17,679003,265940,-143601,122339,79619,-86419,-6800
2018-04-24,685976,260777,-142725,118052,83497,-81015,2482
2018-05-01,680823,250532,-154077,96455,84808,-65861,18947
2018-05-08,696497,248621,-159868,88753,73573,-72049,1524
2018-05-15,710995,251250,-163849,87401,73897,-74097,-200
2018-05-22,731490,257946,-183254,74692,73707,-76146,-2439
2018-05-29,758381,254390,-188975,65415,76097,-84834,-8737
2018-06-05,764297,262001,-188782,73219,69296,-77076,-7780
2018-06-12,808289,278793,-186978,91815,72399,-81649,-9250
2018-06-19,584145,294696,-183968,110728,64466,-82099,-17633
2018-06-26,592189,278646,-190289,88357,71037,-85934,-14897
2018-07-03,591994,275559,-191864,83695,65397,-79632,-14235
2018-07-10,603377,282646,-187590,95056,64000,-85665,-21665
2018-07-17,617923,282273,-187652,94621,66372,-92386,-26014
2018-07-24,618863,277990,-187013,90977,68900,-94628,-25728
2018-07-31,615259,273244,-188958,84286,67770,-83216,-15446
2018-08-07,631017,279316,-188170,91146,68888,-92792,-23904
2018-08-14,628840,272900,-187295,85605,69782,-90811,-21029
2018-08-21,632271,276040,-187532,88508,67542,-98345,-30803
2018-08-28,646116,285061,-178469,106592,68281,-98897,-30616
2018-09-04,648498,286995,-170071,116924,57027,-99386,-42359
2018-09-11,653358,285319,-164260,121059,55989,-97582,-41593
2018-09-18,726708,298056,-165095,132961,46783,-88798,-42015
2018-09-25,579634,311899,-157675,154224,37725,-87414,-49689
2018-10-02,590542,311059,-157539,153520,40673,-83248,-42575
2018-10-09,611580,293335,-161344,131991,45865,-77897,-32032
2018-10-16,627161,263905,-176118,87787,59370,-63365,-3995
2018-10-23,634547,249043,-176977,72066,70716,-78149,-7433
2018-10-30,651135,234431,-178684,55747,78152,-76831,1321
2018-11-06,642723,242467,-177852,64615,61745,-76356,-14611
2018-11-13,648679,251745,-171114,80631,57644,-79878,-22234
2018-11-20,668984,245924,-172785,73139,61711,-69015,-7304
2018-11-27,667115,243211,-169324,73887,65123,-71188,-6065
2018-12-04,681655,242667,-156733,85934,61719,-77112,-15393
2018-12-11,693855,232841,-167882,64959,72862,-68764,4098
2018-12-18,709900,232184,-168240,63944,80565,-63132,17433
2018-12-24,588676,255424,-152732,102692,88617,-56840,31777
2018-12-31,575768,260710,-140469,120241,59873,-55615,4258
2019-01-08,573742,261752,-134838,126914,47599,-54769,-7170
2019-01-15,585987,261757,-135310,126447,45443,-63257,-17814
2019-01-22,595185,257347,-131300,126047,51212,-67577,-16365
2019-01-29,599443,250979,-127462,123517,55291,-64680,-9389
2019-02-05,592490,247016,-130459,116557,45860,-74699,-28839
2019-02-12,591539,246106,-136934,109172,42009,-66769,-24760
2019-02-19,589295,245875,-138430,107445,39247,-69719,-30472
2019-02-26,603122,256609,-130509,126100,41995,-75377,-33382
2019-03-05,571144,255679,-127714,127965,46771,-77462,-30691
2019-03-12,620260,258648,-121869,136779,43686,-70626,-26940
2019-03-19,520024,278096,-125293,152803,40446,-77158,-36712
2019-03-26,526058,271531,-119075,152456,45050,-69708,-24658
2019-04-02,533116,274615,-119906,154709,43609,-76874,-33265
2019-04-09,540171,274617,-115936,158681,45296,-77523,-32227
2019-04-16,559143,282487,-115729,166758,46949,-80545,-33596
2019-04-23,575717,282108,-120065,162043,51407,-75699,-24292
2019-04-30,571216,282130,-121678,160452,49586,-67011,-17425
2019-05-07,568612,275432,-121426,154006,48261,-65288,-17027
2019-05-14,571543,268819,-124160,144659,48584,-74155,-25571
2019-05-21,571843,268270,-126169,142101,46476,-75025,-28549
2019-05-28,581858,269658,-128933,140725,50619,-74346,-23727
2019-06-04,581678,273738,-130265,143473,60620,-74944,-14324
2019-06-11,586932,287140,-125144,161996,46737,-84176,-37439
2019-06-18,663913,289401,-127222,162179,45931,-88833,-42902
2019-06-25,516250,303730,-119132,184598,31292,-77703,-46411
2019-07-02,532421,303123,-120473,182650,35799,-86879,-51080
2019-07-09,538672,308384,-124023,184361,32616,-86826,-54210
2019-07-16,556903,317082,-122600,194482,35293,-88757,-53464
2019-07-23,557604,307791,-125880,181911,36889,-78492,-41603
2019-07-30,558588,306123,-124668,181455,35741,-78711,-42970
2019-08-06,549032,294507,-136853,157654,33469,-67264,-33795
