date,all,long,short,net
2005-01-04,1676478,403430,-371445,31985
2005-01-11,1683691,402963,-408100,-5137
2005-01-18,1668148,414968,-381422,33546
2005-01-25,1643461,276629,-330215,-53586
2005-02-01,1749409,261427,-316883,-55456
2005-02-08,1806663,297999,-304380,-6381
2005-02-15,1865429,322904,-277112,45792
2005-02-22,2036556,445415,-358495,86920
2005-03-01,1955525,392364,-412554,-20190
2005-03-08,1937316,393346,-503489,-110143
2005-03-15,2056927,414331,-561385,-147054
2005-03-22,2119182,428369,-647754,-219385
2005-03-29,2087600,436571,-650801,-214230
2005-04-05,1986875,340979,-542574,-201595
2005-04-12,2001950,344955,-534209,-189254
2005-04-19,1960141,298063,-494738,-196675
2005-04-26,2043233,342333,-471599,-129266
2005-05-03,2119888,364656,-465754,-101098
2005-05-10,2102089,371107,-498305,-127198
2005-05-17,2259937,461284,-588158,-126874
2005-05-24,2185852,513603,-439059,74544
2005-05-31,1963251,448099,-414337,33762
2005-06-07,1942546,456940,-436805,20135
2005-06-14,1937830,469385,-499938,-30553
2005-06-21,1894636,398652,-449685,-51033
2005-06-28,1903667,391641,-412545,-20904
2005-07-05,1792932,440752,-383450,57302
2005-07-12,1823411,421360,-410646,10714
2005-07-19,1853596,397869,-396940,929
2005-07-26,1909812,408461,-385051,23410
2005-08-02,2006687,488007,-376932,111075
2005-08-09,2017608,516550,-440569,75981
2005-08-16,2081007,487471,-389062,98409
2005-08-23,1965417,426214,-367373,58841
2005-08-30,1834767,366960,-340257,26703
2005-09-06,1857524,379056,-368667,10389
2005-09-13,1919250,372611,-369855,2756
2005-09-20,1718813,380478,-400132,-19654
2005-09-27,1630494,382286,-358753,23533
2005-10-04,1641098,389329,-380552,8777
2005-10-11,1626370,401854,-383641,18213
2005-10-18,1678231,402787,-365577,37210
2005-10-25,1729381,349595,-432913,-83318
2005-11-01,1746486,351198,-417725,-66527
2005-11-08,1788392,400177,-389957,10220
2005-11-15,1902039,375501,-363110,12391
2005-11-22,1702810,377118,-324920,52198
2005-11-29,1690656,370376,-310567,59809
2005-12-06,1707068,398788,-337193,61595
2005-12-13,1713583,451861,-340731,111130
2005-12-20,1600491,399380,-290688,108692
2005-12-27,1587737,400277,-290635,109642
2006-01-03,1563688,397835,-260878,136957
2006-01-10,1584307,392256,-284265,107991
2006-01-17,1655763,411951,-293955,117996
2006-01-24,1787420,512492,-349225,163267
2006-01-31,1931728,564521,-405778,158743
2006-02-07,2017112,583985,-446072,137913
2006-02-14,1997674,583546,-432712,150834
2006-02-21,1924084,587819,-441223,146596
2006-02-28,1986502,610418,-427660,182758
2006-03-07,2134749,685602,-537629,147973
2006-03-14,2108707,675787,-492450,183337
2006-03-21,1984183,629702,-365979,263723
2006-03-28,2013325,608531,-434869,173662
2006-04-04,2132614,635445,-484224,151221
2006-04-11,2246748,678685,-506005,172680
2006-04-18,2319940,705614,-529132,176482
2006-04-25,2361982,616933,-617420,-487
2006-05-02,2301583,670231,-642045,28186
2006-05-09,2438450,693873,-666573,27300
2006-05-16,2391761,694078,-587507,106571
2006-05-23,2253508,638046,-545438,92608
2006-05-30,2088911,556693,-496677,60016
2006-06-06,2017563,548436,-477682,70754
2006-06-13,1912279,475381,-432788,42593
2006-06-20,2097072,569159,-506906,62253
2006-06-27,2194364,576188,-487148,89040
2006-07-03,2136459,549727,-401503,148224
2006-07-11,2112145,529622,-390924,138698
2006-07-18,2101811,546315,-427055,119260
2006-07-25,2023096,493464,-340571,152893
2006-08-01,2118976,545646,-347995,197651
2006-08-08,2197120,607675,-346460,261215
2006-08-15,2259869,623077,-310585,312492
2006-08-22,2314018,675003,-327444,347559
2006-08-29,2348181,698037,-267507,430530
2006-09-05,2270848,705841,-316436,389405
2006-09-12,2270413,727319,-289181,438138
2006-09-19,2318002,801299,-322689,478610
2006-09-26,2197365,776318,-300740,475578
2006-10-03,2241109,782458,-261587,520871
2006-10-10,2347937,739566,-278522,461044
2006-10-17,2434326,747988,-312215,435773
2006-10-24,2518656,776448,-351450,424998
2006-10-31,2413564,740137,-364629,375508
2006-11-07,2387678,705981,-355285,350696
2006-11-14,2371687,697897,-358164,339733
2006-11-21,2300386,679802,-283779,396023
2006-11-28,2560646,645867,-281107,364760
2006-12-05,2269869,631622,-316676,314946
2006-12-12,2248701,647584,-292937,354647
2006-12-19,2247263,627615,-295435,332180
2006-12-26,2143478,589801,-276112,313689
2007-01-03,2257271,629643,-295872,333771
2007-01-09,2296061,626468,-325063,301405
2007-01-16,2314838,633438,-344081,289357
2007-01-23,2399069,672918,-378217,294701
2007-01-30,2412726,632355,-378953,253402
2007-02-06,2368690,602080,-341932,260148
2007-02-13,2453314,616647,-396565,220082
2007-02-20,2333068,556431,-349142,207289
2007-02-27,2320566,613800,-317648,296152
2007-03-06,2164423,589779,-264585,325194
2007-03-13,2244799,630702,-263144,367558
2007-03-20,2307271,695088,-252131,442957
2007-03-27,2407018,738077,-299228,438849
2007-04-03,2525436,760700,-317796,442904
2007-04-10,2554632,761799,-349282,412517
2007-04-17,2591352,745313,-339709,405604
2007-04-24,2619188,738371,-323265,415106
2007-05-01,2681560,739429,-333825,405604
2007-05-08,2765399,778591,-360250,418341
2007-05-15,2930887,828707,-388740,439967
2007-05-22,2977848,826798,-426592,400206
2007-05-29,2986247,808813,-450713,358100
2007-06-05,2784615,675848,-462159,213689
2007-06-12,2952773,725791,-479564,246227
2007-06-19,2892546,769510,-524206,245304
2007-06-26,2789907,770942,-425508,345434
2007-07-03,2783537,791672,-443887,347785
2007-07-10,2852436,773959,-493723,280236
2007-07-17,2871480,817098,-481365,335733
2007-07-24,2812951,755885,-403619,352266
2007-07-31,2945613,872561,-357955,514606
2007-08-07,3058921,953514,-347005,606509
2007-08-14,2920253,944829,-336337,608492
2007-08-21,2793955,814621,-335240,479381
2007-08-28,2542149,695265,-302435,392830
2007-09-04,2318480,618248,-291270,326978
2007-09-11,2304101,622737,-289348,333389
2007-09-18,2228366,630925,-319857,311068
2007-09-25,2271317,629290,-336706,292584
2007-10-02,2392643,706010,-356494,349516
2007-10-09,2451749,675387,-377326,298061
2007-10-16,2509900,668658,-405310,263348
2007-10-23,2562472,672032,-407012,265020
2007-10-30,2541447,684436,-373393,311043
2007-11-06,2680029,774242,-381601,392641
2007-11-13,2727870,777830,-410612,367218
2007-11-20,2534472,782193,-320737,461456
2007-11-27,2637003,724696,-315562,409134
2007-12-04,2544543,795185,-353098,442087
2007-12-11,2420861,764576,-388179,376397
2007-12-18,2254582,658688,-365698,292990
2007-12-24,2178038,633034,-384608,248426
2007-12-31,2123952,597365,-361328,236037
2008-01-08,2290428,571874,-391449,180425
2008-01-15,2454412,556775,-419763,137012
2008-01-22,2571946,569773,-398441,171332
2008-01-29,2539795,528080,-418755,109325
2008-02-05,2575329,597183,-484094,113089
2008-02-12,2586463,581738,-463275,118463
2008-02-19,2573682,588565,-446391,142174
2008-02-26,2470430,532123,-362918,169205
2008-03-04,2358330,603544,-380243,223301
2008-03-11,2204687,446869,-345865,101004
2008-03-18,2190603,310692,-323096,-12404
2008-03-25,2093120,273315,-354872,-81557
2008-04-01,2072126,269253,-354440,-85187
2008-04-08,2045787,250034,-335950,-85916
2008-04-15,2094992,271683,-357428,-85745
2008-04-22,2081506,248867,-343688,-94821
2008-04-29,2083199,263991,-324554,-60563
2008-05-06,2116867,283389,-366198,-82809
2008-05-13,2116245,303256,-341062,-37806
2008-05-20,2170111,355874,-325567,30307
2008-05-27,2175930,332245,-289731,42514
2008-06-03,2158445,346362,-279321,67041
2008-06-10,2034624,319788,-296092,23696
2008-06-17,1965019,302610,-308638,-6028
2008-06-24,1901679,284955,-281898,3057
2008-07-01,1848701,266942,-280224,-13282
2008-07-08,1843833,298244,-282422,15822
2008-07-15,1809127,279045,-322622,-43577
2008-07-22,1779735,263760,-372776,-109016
2008-07-29,1766445,231008,-358960,-127952
2008-08-05,1817373,240683,-325119,-84436
2008-08-12,1863520,257165,-328787,-71622
2008-08-19,1904192,260535,-323582,-63047
2008-08-26,1780002,268580,-273853,-5273
2008-09-02,1798937,287367,-263385,23982
2008-09-09,1711469,263653,-242199,21454
2008-09-16,1723211,229651,-240195,-10544
2008-09-23,1596998,232273,-253488,-21215
2008-09-30,1515264,199164,-247886,-48722
2008-10-07,1460044,260936,-209882,51054
2008-10-14,1418014,237615,-259588,-21973
2008-10-21,1363653,226466,-229963,-3497
2008-10-28,1308008,200274,-226956,-26682
2008-11-04,1242935,200831,-180406,20425
2008-11-11,1241538,193066,-198497,-5431
2008-11-18,1226756,183921,-167546,16375
2008-11-25,1255468,177850,-103361,74489
2008-12-02,1120868,155733,-139215,16518
2008-12-09,1096954,151521,-140138,11383
2008-12-16,1101485,145257,-142579,2678
2008-12-22,1050731,152166,-142563,9603
2008-12-30,1034318,148665,-132554,16111
2009-01-06,1038214,158122,-142671,15451
2009-01-13,1026341,128396,-118232,10164
2009-01-20,1042775,128587,-126448,2139
2009-01-27,1031443,135685,-110832,24853
2009-02-03,1068229,131725,-133547,-1822
2009-02-10,1054846,151864,-159939,-8075
2009-02-17,1066453,138987,-147601,-8614
2009-02-24,888595,101054,-127982,-26928
2009-03-03,996372,81324,-144319,-62995
2009-03-10,958394,81869,-142369,-60500
2009-03-17,976975,88401,-155937,-67536
2009-03-24,1033840,94016,-135667,-41651
2009-03-31,1043174,116758,-163499,-46741
2009-04-07,979463,78764,-139106,-60342
2009-04-14,1044608,107754,-145471,-37717
2009-04-21,1012372,69083,-157363,-88280
2009-04-28,1036469,68899,-150819,-81920
2009-05-05,1027353,69030,-165579,-96549
2009-05-12,1127987,101301,-152897,-51596
2009-05-19,1151282,74839,-153818,-78979
2009-05-26,1216363,36062,-215471,-179409
2009-06-02,1159731,68232,-203404,-135172
2009-06-09,1076898,74337,-171985,-97648
2009-06-16,1089636,97715,-191442,-93727
2009-06-23,1031424,87392,-174539,-87147
2009-06-30,1024645,95099,-207492,-112393
2009-07-07,1049038,96441,-221290,-124849
2009-07-14,1040582,69487,-179701,-110214
2009-07-21,1059591,85467,-161095,-75628
2009-07-28,1092598,78091,-190825,-112734
2009-08-04,1079309,78317,-195503,-117186
2009-08-11,1155573,87510,-205298,-117788
2009-08-18,1143064,87807,-200685,-112878
2009-08-25,1132144,97088,-166715,-69627
2009-09-01,1157418,88321,-213655,-125334
2009-09-08,1123169,89131,-203603,-114472
2009-09-15,1094455,105018,-192018,-87000
2009-09-22,1117786,116934,-213077,-96143
2009-09-29,1153910,138958,-206259,-67301
2009-10-06,1237547,172339,-183554,-11215
2009-10-13,1253023,151317,-190820,-39503
2009-10-20,1276936,170497,-211269,-40772
2009-10-27,1249686,132258,-203479,-71221
2009-11-03,1247376,126764,-213315,-86551
2009-11-09,1296628,144927,-216304,-71377
2009-11-17,1358680,175751,-272474,-96723
2009-11-24,1359137,190719,-260911,-70192
2009-12-01,1358551,201898,-211210,-9312
2009-12-08,1229982,194890,-203561,-8671
2009-12-15,1178424,168175,-220956,-52781
2009-12-22,1171610,162320,-247290,-84970
2009-12-29,1159407,151758,-288114,-136356
2010-01-05,1217404,155429,-304661,-149232
2010-01-12,1253003,126967,-317675,-190708
2010-01-19,1277965,123328,-267129,-143801
2010-01-26,1332819,135138,-285604,-150466
2010-02-02,1404635,168508,-298318,-129810
2010-02-09,1410391,146647,-287950,-141303
2010-02-16,1433093,164972,-309807,-144835
2010-02-23,1404172,110019,-235405,-125386
2010-03-02,1391249,155310,-263236,-107926
2010-03-09,1353761,158634,-265030,-106396
2010-03-16,1433862,180089,-269686,-89597
2010-03-23,1490184,169649,-327195,-157546
2010-03-30,1503302,98428,-348345,-249917
2010-04-06,1559691,92636,-337369,-244733
2010-04-13,1671592,87297,-362038,-274741
2010-04-20,1671634,124235,-369946,-245711
2010-04-27,1699931,129472,-347721,-218249
2010-05-04,1702628,103141,-361021,-257880
2010-05-11,1803247,142415,-382212,-239797
2010-05-18,1868089,147601,-414830,-267229
2010-05-25,1839897,137509,-333515,-196006
2010-06-01,1899808,161106,-313698,-152592
2010-06-08,1807396,134532,-326766,-192234
2010-06-15,1764800,137675,-295262,-157587
2010-06-22,1706634,151048,-287860,-136812
2010-06-29,1699915,130037,-291375,-161338
2010-07-06,1722092,179284,-294724,-115440
2010-07-13,1756650,186513,-292670,-106157
2010-07-20,1843850,178256,-322785,-144529
2010-07-27,1831973,167919,-308470,-140551
2010-08-03,1807891,159205,-350357,-191152
2010-08-10,1983003,187193,-239081,-51888
2010-08-17,1992026,196506,-244083,-47577
2010-08-24,2055210,204962,-224882,-19920
2010-08-31,1951010,220815,-157896,62919
2010-09-07,1767283,204926,-183146,21780
2010-09-14,1663008,209351,-183463,25888
2010-09-21,1649542,233397,-180062,53335
2010-09-28,1653910,216519,-181404,35115
2010-10-05,1706764,232628,-209031,23597
2010-10-12,1689611,256441,-200693,55748
2010-10-19,1597756,259147,-191800,67347
2010-10-26,1514959,211434,-195678,15756
2010-11-02,1550472,235124,-196795,38329
2010-11-09,1565838,278164,-219503,58661
2010-11-16,1523980,290379,-193033,97346
2010-11-23,1476806,237822,-210541,27281
2010-11-30,1353052,143975,-211630,-67655
2010-12-07,1318394,157786,-203160,-45374
2010-12-14,1350733,190452,-198556,-8104
2010-12-21,1355794,174375,-252298,-77923
2010-12-28,1334702,147554,-253147,-105593
2011-01-04,1357110,155704,-232097,-76393
2011-01-11,1350022,160460,-241156,-80696
2011-01-18,1326699,150250,-236812,-86562
2011-01-25,1370848,130886,-245204,-114318
2011-02-01,1365536,139750,-273580,-133830
2011-02-08,1506903,176183,-272338,-96155
2011-02-15,1562735,182412,-298916,-116504
2011-02-22,1590703,171359,-319588,-148229
2011-03-01,1477383,167110,-241068,-73958
2011-03-08,1547378,184288,-241005,-56717
2011-03-15,1598698,174536,-292280,-117744
2011-03-22,1594395,219555,-277985,-58430
2011-03-29,1568542,208546,-224685,-16139
2011-04-05,1605373,210683,-291348,-80665
2011-04-12,1654200,211171,-293085,-81914
2011-04-19,1626116,202211,-255103,-52892
2011-04-26,1660137,211100,-245514,-34414
2011-05-03,1704182,219432,-275543,-56111
2011-05-10,1751566,197751,-329551,-131800
2011-05-17,1894013,226464,-376508,-150044
2011-05-24,1943353,225486,-309401,-83915
2011-05-31,1973136,258916,-337488,-78572
2011-06-07,1819249,260827,-297097,-36270
2011-06-14,1830576,245495,-295843,-50348
2011-06-21,1857069,283445,-297024,-13579
2011-06-28,1805673,235796,-302759,-66963
2011-07-05,1764483,222040,-314763,-92723
2011-07-12,1814745,270439,-334895,-64456
2011-07-19,1915663,304794,-343317,-38523
2011-07-26,1900615,283467,-307814,-24347
2011-08-02,1863628,262924,-335870,-72946
2011-08-09,1888324,277345,-267531,9814
2011-08-16,1971277,252285,-261972,-9687
2011-08-23,1945472,252568,-266166,-13598
2011-08-30,2011822,231773,-231636,137
2011-09-06,1766216,205257,-241209,-35952
2011-09-13,1649923,161297,-244198,-82901
2011-09-20,1566935,153064,-266245,-113181
2011-09-27,1555333,165486,-260431,-94945
2011-10-04,1496381,154499,-268513,-114014
2011-10-11,1535194,137600,-311436,-173836
2011-10-18,1494341,157906,-294089,-136183
2011-10-25,1504168,204311,-270191,-65880
2011-11-01,1453541,179068,-307761,-128693
2011-11-08,1484687,184410,-280585,-96175
2011-11-15,1480368,190194,-289736,-99542
2011-11-22,1522038,214024,-229315,-15291
2011-11-29,1556443,209733,-192432,17301
2011-12-06,1406900,198523,-188744,9779
2011-12-13,1452990,205417,-193625,11792
2011-12-20,1464761,177468,-200009,-22541
2011-12-27,1475878,206185,-209166,-2981
2012-01-03,1497556,211727,-205491,6236
2012-01-10,1578979,242671,-222395,20276
2012-01-17,1688393,286446,-193943,92503
2012-01-24,1708405,221031,-264908,-43877
2012-01-31,1763911,217317,-246900,-29583
2012-02-07,1792717,211279,-254739,-43460
2012-02-14,1803352,211298,-255698,-44400
2012-02-21,1882600,217886,-283171,-65285
2012-02-28,1901149,210504,-233000,-22496
2012-03-06,1858467,248244,-271585,-23341
2012-03-13,1795780,217768,-295057,-77289
2012-03-20,1786732,205115,-385287,-180172
2012-03-27,1757545,167145,-362862,-195717
2012-04-03,1735420,144987,-357114,-212127
2012-04-10,1773855,165558,-372147,-206589
2012-04-17,1813480,200815,-377097,-176282
2012-04-24,1819927,202564,-359654,-157090
2012-05-01,1832781,212287,-357043,-144756
2012-05-08,1884542,231373,-364101,-132728
2012-05-15,1906411,190868,-354260,-163392
2012-05-22,2010955,210661,-346851,-136190
2012-05-29,2147766,225805,-306883,-81078
2012-06-05,1875549,271137,-309029,-37892
2012-06-12,1804110,215210,-310595,-95385
2012-06-19,1759586,273224,-296221,-22997
2012-06-26,1738010,220292,-275931,-55639
2012-07-03,1770490,227279,-300657,-73378
2012-07-10,1797301,251036,-287619,-36583
2012-07-17,1803643,270104,-335998,-65894
2012-07-24,1810150,255738,-333152,-77414
2012-07-31,1757686,282285,-280230,2055
2012-08-07,1655120,229847,-244442,-14595
2012-08-14,1647982,243115,-210779,32336
2012-08-21,1631871,269963,-172423,97540
2012-08-28,1604899,222643,-171951,50692
2012-09-04,1585291,293736,-185051,108685
2012-09-11,1570830,284276,-177716,106560
2012-09-18,1593535,296979,-174543,122436
2012-09-25,1606021,244601,-161075,83526
2012-10-02,1694919,334911,-173121,161790
2012-10-09,1671478,296868,-178578,118290
2012-10-16,1680993,327263,-191298,135965
2012-10-23,1694133,267418,-188122,79296
2012-10-30,1702252,356950,-187494,169456
2012-11-06,1694764,319557,-209200,110357
2012-11-13,1764600,370730,-212211,158519
2012-11-20,1857000,417644,-256231,161413
2012-11-27,1848887,378022,-190368,187654
2012-12-04,1701606,383374,-180683,202691
2012-12-11,1727989,355349,-218370,136979
2012-12-18,1698628,327897,-260755,67142
2012-12-24,1604743,309465,-235314,74151
2012-12-31,1617683,320599,-241672,78927
2013-01-08,1715600,292153,-247347,44806
2013-01-15,1785576,291957,-264659,27298
2013-01-22,1886564,329586,-262863,66723
2013-01-29,1983650,324553,-282001,42552
2013-02-05,2032227,324797,-277891,46906
2013-02-12,2030814,312206,-260657,51549
2013-02-19,2087761,330346,-277058,53288
2013-02-26,2175882,367168,-251260,115908
2013-03-05,2122625,354150,-277332,76818
2013-03-12,2101426,263559,-320905,-57346
2013-03-19,2108233,320503,-323798,-3295
2013-03-26,2176645,395843,-297653,98190
2013-04-02,2213520,437189,-326497,110692
2013-04-09,2226990,468754,-347975,120779
2013-04-16,2213803,485490,-350118,135372
2013-04-23,2264629,477496,-356856,120640
2013-04-30,2208463,474128,-342084,132044
2013-05-07,2271506,430480,-392524,37956
2013-05-14,2331523,366063,-377216,-11153
2013-05-21,2353301,383457,-363251,20206
2013-05-28,2493026,401534,-437039,-35505
2013-06-04,2198731,364621,-344937,19684
2013-06-11,2160996,377903,-387098,-9195
2013-06-18,2087833,385292,-354063,31229
2013-06-25,2102828,356432,-323421,33011
2013-07-02,2154516,305569,-328486,-22917
2013-07-09,2226948,330841,-377951,-47110
2013-07-16,2120175,326989,-309254,17735
2013-07-23,2211881,305013,-337325,-32312
2013-07-30,2312031,324539,-312636,11903
2013-08-06,2343075,303613,-323709,-20096
2013-08-13,2332731,263126,-329558,-66432
2013-08-20,2307707,275179,-300019,-24840
2013-08-27,2261608,225799,-336624,-110825
2013-09-03,2151279,230375,-333469,-103094
2013-09-10,2114314,193124,-278448,-85324
2013-09-17,1968911,173420,-299446,-126026
2013-09-24,1948616,193925,-283032,-89107
2013-10-01,1951203,236233,-264769,-28536
2013-10-08,1970617,197496,-285067,-87571
2013-10-15,2079085,205238,-305026,-99788
2013-10-22,2187365,240098,-382648,-142550
2013-10-29,2156934,234180,-359850,-125670
2013-11-05,2275937,236304,-425492,-189188
2013-11-12,2292115,196851,-377930,-181079
2013-11-19,2374368,211182,-391545,-180363
2013-11-26,2477469,236106,-391660,-155554
2013-12-03,2459449,284396,-451756,-167360
2013-12-10,2292555,223447,-373476,-150029
2013-12-17,2188276,208656,-363865,-155209
2013-12-24,2163928,252753,-358521,-105768
2013-12-31,2211389,207280,-380954,-173674
2014-01-07,2214170,253175,-381220,-128045
2014-01-14,2197399,305814,-356604,-50790
2014-01-21,2232869,315980,-374371,-58391
2014-01-28,2334109,298913,-416672,-117759
2014-02-04,2382511,308867,-444168,-135301
2014-02-11,2410966,322845,-465378,-142533
2014-02-18,2430028,380817,-437961,-57144
2014-02-25,2513746,333437,-346404,-12967
2014-03-04,2407282,312136,-413506,-101370
2014-03-11,2412737,301102,-419312,-118210
2014-03-18,2441194,360226,-415240,-55014
2014-03-25,2490662,333722,-395487,-61765
2014-04-01,2503964,346901,-415677,-68776
2014-04-08,2572114,327159,-482333,-155174
2014-04-15,2497347,344056,-506334,-162278
2014-04-22,2493544,349474,-495339,-145865
2014-04-29,2528687,332918,-447343,-114425
2014-05-06,2618485,340698,-470107,-129409
2014-05-13,2735107,421083,-503263,-82180
2014-05-20,2796523,431479,-529374,-97895
2014-05-27,2841037,379344,-398422,-19078
2014-06-03,2580717,383136,-426431,-43295
2014-06-10,2594787,371971,-443874,-71903
2014-06-17,2601086,365722,-451552,-85830
2014-06-24,2585200,402746,-430038,-27292
2014-07-01,2603368,404469,-473827,-69358
2014-07-08,2686230,376657,-473429,-96772
2014-07-15,2625979,425550,-479176,-53626
2014-07-22,2723060,467442,-505601,-38159
