date,all,am_long,am_short,am_net,lev_long,lev_short,lev_net
2017-01-03,3096552,1294429,-964382,330047,436967,-591039,-154072
2017-01-10,3104486,1345457,-1001273,344184,442460,-599106,-156646
2017-01-17,3095567,1300173,-1033420,266753,428254,-582557,-154303
2017-01-24,3162734,1246125,-1098891,147234,498188,-599854,-101666
2017-01-31,3175288,1234965,-1080744,154221,478477,-604957,-126480
2017-02-07,3215261,1322313,-1110782,211531,452767,-592754,-139987
2017-02-14,3340546,1308879,-1066573,242306,484081,-706321,-222240
2017-02-21,3580979,1351743,-1092476,259267,490795,-702416,-211621
2017-02-28,3255388,1427943,-1041731,386212,414663,-741698,-327035
2017-03-07,3254479,1420541,-1035699,384842,425067,-790717,-365650
2017-03-14,3155363,1309327,-965704,343623,443015,-790047,-347032
2017-03-21,3069674,1282613,-925682,356931,459776,-710155,-250379
2017-03-28,3034001,1227666,-941371,286295,508640,-693696,-185056
2017-04-04,3027576,1172902,-946247,226655,500441,-636763,-136322
2017-04-11,3097675,1191463,-943534,247929,557780,-678265,-120485
2017-04-18,3161306,1204104,-904984,299120,570477,-740701,-170224
2017-04-25,3188417,1212049,-926150,285899,614529,-742276,-127747
2017-05-02,3250046,1183706,-904112,279594,640361,-803841,-163480
2017-05-09,3333895,1211459,-991845,219614,717540,-809816,-92276
2017-05-16,3370091,1175691,-979859,195832,748703,-824273,-75570
2017-05-23,3538851,1190651,-1019061,171590,735765,-795236,-59471
2017-05-30,3284784,1131706,-876271,255435,667434,-800260,-132826
2017-06-06,3208578,1144728,-891079,253649,682547,-789466,-106919
2017-06-13,3180408,1139256,-899966,239290,637055,-721914,-84859
2017-06-20,3224389,1109073,-871637,237436,643485,-756954,-113469
2017-06-27,3137084,1088441,-890461,197980,610917,-649296,-38379
2017-07-03,3087863,1079237,-939893,139344,601628,-597986,3642
2017-07-11,3136441,1126617,-977783,148834,621342,-558859,62483
2017-07-18,3160904,1142173,-1002010,140163,596152,-628792,-32640
2017-07-25,3200017,1103052,-992008,111044,603399,-660035,-56636
2017-08-01,3227493,1055257,-967248,88009,637977,-706110,-68133
2017-08-08,3322841,1098772,-1050976,47796,693330,-715623,-22293
2017-08-15,3374871,1120629,-1046357,74272,700436,-723205,-22769
2017-08-22,3432660,1159581,-1027410,132171,709901,-708143,1758
2017-08-29,3578517,1131369,-954509,176860,683986,-707661,-23675
2017-09-05,3403957,1140461,-980448,160013,698482,-712397,-13915
2017-09-12,3304468,1069223,-1024042,45181,670832,-655663,15169
2017-09-19,3273096,1013726,-1045881,-32155,676841,-641914,34927
2017-09-26,3212109,1027658,-1042543,-14885,655456,-630547,24909
2017-10-03,3105646,1017416,-924766,92650,611530,-619067,-7537
2017-10-10,3136900,1066233,-948852,117381,605453,-615953,-10500
2017-10-17,3036524,1077574,-868186,209388,515816,-660121,-144305
2017-10-24,3171273,1095515,-898146,197369,631967,-707144,-75177
2017-10-31,3236084,1184373,-960862,223511,588844,-686129,-97285
2017-11-07,3191098,1167744,-908072,259672,556418,-644530,-88112
2017-11-14,3332499,1164619,-944738,219881,607019,-756496,-149477
2017-11-21,3602401,1257058,-915704,341354,575861,-862632,-286771
2017-11-28,3692041,1245888,-877277,368611,568471,-850663,-282192
2017-12-05,3273707,1272672,-881165,391507,432484,-815848,-383364
2017-12-12,3305607,1219272,-876752,342520,508366,-869848,-361482
2017-12-19,3277972,1258102,-880304,377798,508415,-889741,-381326
