date,all,long,short,net
2005-01-04,155870,11252,-33972,-22720
2005-01-11,161868,11463,-35208,-23745
2005-01-18,171109,31993,-39872,-7879
2005-01-25,162182,32684,-33608,-924
2005-02-01,167125,30815,-31214,-399
2005-02-08,155552,34088,-19798,14290
2005-02-15,151987,36710,-13017,23693
2005-02-22,154084,40013,-14078,25935
2005-03-01,153631,20545,-13422,7123
2005-03-08,171109,23136,-13350,9786
2005-03-15,107434,19290,-13944,5346
2005-03-22,108865,27578,-15675,11903
2005-03-29,114268,41222,-11033,30189
2005-04-05,127406,46128,-9686,36442
2005-04-12,133228,56150,-11954,44196
2005-04-19,143178,61624,-6927,54697
2005-04-26,138788,43717,-11215,32502
2005-05-03,160185,35963,-21832,14131
2005-05-10,160836,30334,-20771,9563
2005-05-17,189032,59546,-11663,47883
2005-05-24,184022,49460,-10629,38831
2005-05-31,183593,54902,-6467,48435
2005-06-07,185988,42406,-5295,37111
2005-06-14,144048,61022,-8991,52031
2005-06-21,139726,49102,-11128,37974
2005-06-28,147872,62689,-10844,51845
2005-07-05,156517,63765,-11579,52186
2005-07-12,162959,73906,-10830,63076
2005-07-19,168697,68221,-9165,59056
2005-07-26,161014,55800,-8032,47768
2005-08-02,165281,52488,-9337,43151
2005-08-09,177994,61428,-12768,48660
2005-08-16,166923,38808,-12423,26385
2005-08-23,166538,40724,-9358,31366
2005-08-30,178245,55606,-7941,47665
2005-09-06,175986,42389,-8017,34372
2005-09-13,189247,45214,-10280,34934
2005-09-20,127850,59583,-11954,47629
2005-09-27,138571,72535,-13469,59066
2005-10-04,167979,79651,-16352,63299
2005-10-11,176161,84780,-18745,66035
2005-10-18,199678,86855,-20214,66641
2005-10-25,195218,86780,-20098,66682
2005-11-01,195803,86164,-19862,66302
2005-11-08,197715,84056,-19428,64628
2005-11-15,203137,88378,-21147,67231
2005-11-22,204816,86921,-21037,65884
2005-11-29,206878,86626,-22626,64000
2005-12-06,220313,98355,-26712,71643
2005-12-13,243599,94284,-22221,72063
2005-12-20,139503,38427,-12322,26105
2005-12-27,148945,39127,-16998,22129
2006-01-03,155722,46929,-22192,24737
2006-01-10,169886,50001,-30472,19529
2006-01-17,167681,48321,-30062,18259
2006-01-24,166600,48976,-29698,19278
2006-01-31,188724,74032,-32287,41745
2006-02-07,197898,87566,-31219,56347
2006-02-14,195644,82617,-27560,55057
2006-02-21,203465,98143,-26959,71184
2006-02-28,201773,64408,-41587,22821
2006-03-07,248612,78569,-36738,41831
2006-03-14,189513,70103,-24814,45289
2006-03-21,175962,52471,-23115,29356
2006-03-28,180101,57641,-27229,30412
2006-04-04,189732,63319,-30603,32716
2006-04-11,205630,90684,-36213,54471
2006-04-18,202039,79890,-38749,41141
2006-04-25,201415,47487,-40997,6490
2006-05-02,206400,41700,-44389,-2689
2006-05-09,210545,27925,-46769,-18844
2006-05-16,212386,27932,-47053,-19121
2006-05-23,211949,31340,-49669,-18329
2006-05-30,208512,30278,-56019,-25741
2006-06-06,201843,26145,-47148,-21003
2006-06-13,243513,48957,-39360,9597
2006-06-20,161290,46884,-23877,23007
2006-06-27,174066,60762,-25190,35572
2006-07-03,168688,49239,-25330,23909
2006-07-11,173470,48343,-27639,20704
2006-07-18,203567,96773,-27724,69049
2006-07-25,208508,103185,-26299,76886
2006-08-01,195626,68375,-25391,42984
2006-08-08,198570,76822,-25031,51791
2006-08-15,216492,91920,-29646,62274
2006-08-22,227195,105930,-30853,75077
2006-08-29,244441,122249,-33920,88329
2006-09-05,228792,102439,-32941,69498
2006-09-12,275585,134394,-34942,99452
2006-09-19,225098,125759,-34955,90804
2006-09-26,221240,129876,-42518,87358
2006-10-03,243819,151581,-47430,104151
2006-10-10,267803,174193,-50595,123598
2006-10-17,261575,165751,-53173,112578
2006-10-24,282998,187691,-50401,137290
2006-10-31,226607,106376,-46776,59600
2006-11-07,229063,111614,-48102,63512
2006-11-14,233573,103118,-48106,55012
2006-11-21,258327,131069,-50648,80421
2006-11-28,252107,97991,-56033,41958
2006-12-05,268136,85881,-62344,23537
2006-12-12,276919,106182,-50622,55560
2006-12-19,239042,141469,-48950,92519
2006-12-26,262764,160543,-55629,104914
2007-01-03,280541,173411,-54819,118592
2007-01-09,287999,177684,-54341,123343
2007-01-16,308740,194177,-56031,138146
2007-01-23,344998,217060,-52200,164860
2007-01-30,344070,215584,-42579,173005
2007-02-06,314920,169551,-41025,128526
2007-02-13,361809,210972,-43467,167505
2007-02-20,332216,158481,-42286,116195
