date,all,am_long,am_short,am_net,lev_long,lev_short,lev_net
2006-06-13,243513,4178,-28335,-24157,49758,-25809,23949
2006-06-20,161290,4252,-24173,-19921,49238,-16496,32742
2006-06-27,174066,4939,-25652,-20713,58957,-16151,42806
2006-07-03,168688,4272,-26277,-22005,49381,-16417,32964
2006-07-11,173470,1871,-28246,-26375,48950,-18071,30879
2006-07-18,203567,2432,-28036,-25604,93171,-22044,71127
2006-07-25,208508,2620,-26616,-23996,98230,-19603,78627
2006-08-01,195626,2633,-27134,-24501,65444,-25925,39519
2006-08-08,198570,2379,-29198,-26819,71414,-26517,44897
2006-08-15,216492,2384,-30596,-28212,89206,-31881,57325
2006-08-22,227195,2573,-30135,-27562,100944,-30425,70519
2006-08-29,244441,3524,-31240,-27716,118718,-29955,88763
2006-09-05,228792,4165,-31145,-26980,100473,-26200,74273
2006-09-12,275585,6224,-36012,-29788,129659,-43824,85835
2006-09-19,225098,6848,-34971,-28123,124015,-22390,101625
2006-09-26,221240,6168,-34172,-28004,129528,-19677,109851
2006-10-03,243819,6241,-34034,-27793,148110,-23534,124576
2006-10-10,267803,6933,-34554,-27621,170434,-27820,142614
2006-10-17,261575,6975,-35283,-28308,161279,-24854,136425
2006-10-24,282998,6852,-36183,-29331,181030,-30624,150406
2006-10-31,226607,5840,-34394,-28554,108521,-26850,81671
2006-11-07,229063,5864,-35126,-29262,109225,-30597,78628
2006-11-14,233573,5948,-34043,-28095,106764,-30093,76671
2006-11-21,258327,6101,-33239,-27138,126638,-38258,88380
2006-11-28,252107,5467,-31382,-25915,92165,-38807,53358
2006-12-05,268136,4931,-28802,-23871,79579,-35765,43814
2006-12-12,276919,4676,-27850,-23174,100481,-46294,54187
2006-12-19,239042,10592,-27899,-17307,137632,-14149,123483
2006-12-26,262764,10169,-28953,-18784,155930,-20693,135237
2007-01-03,280541,11375,-29681,-18306,166215,-20368,145847
2007-01-09,287999,11777,-30960,-19183,170384,-11244,159140
2007-01-16,308740,13639,-32400,-18761,187432,-12730,174702
2007-01-23,344998,15219,-29348,-14129,200690,-14922,185768
2007-01-30,344070,15312,-30524,-15212,192246,-16803,175443
2007-02-06,314920,15944,-29992,-14048,151754,-15107,136647
2007-02-13,361809,17075,-30319,-13244,188858,-20488,168370
2007-02-20,332216,16509,-30061,-13552,138408,-18359,120049
2007-02-27,328295,17565,-32391,-14826,132380,-18325,114055
2007-03-06,278491,13955,-27687,-13732,66715,-15465,51250
2007-03-13,281602,14569,-28627,-14058,61711,-26176,35535
2007-03-20,176550,14209,-25400,-11191,69167,-21950,47217
2007-03-27,204073,14961,-26533,-11572,80922,-19310,61612
2007-04-03,221748,15178,-26478,-11300,92494,-25109,67385
2007-04-10,230370,14895,-26670,-11775,100865,-24995,75870
2007-04-17,234796,14921,-30752,-15831,107317,-23259,84058
2007-04-24,235531,16822,-30150,-13328,111157,-21726,89431
2007-05-01,279868,17421,-28853,-11432,154128,-20664,133464
2007-05-08,284780,17881,-28381,-10500,153192,-23128,130064
2007-05-15,297263,19712,-29694,-9982,165839,-19800,146039
2007-05-22,326431,20245,-29291,-9046,192825,-25267,167558
2007-05-29,319048,20850,-27287,-6437,184088,-23819,160269
2007-06-05,311288,21292,-28957,-7665,168057,-27920,140137
2007-06-12,380532,20860,-30382,-9522,165969,-25322,140647
2007-06-19,310083,22108,-31722,-9614,180307,-42301,138006
2007-06-26,352299,21946,-33308,-11362,213207,-42053,171154
2007-07-03,326811,21939,-33846,-11907,177606,-39788,137818
2007-07-10,320333,22677,-32303,-9626,154714,-45776,108938
2007-07-17,303595,23062,-33225,-10163,167073,-26133,140940
2007-07-24,284669,21299,-32397,-11098,135748,-27753,107995
2007-07-31,264271,19827,-29648,-9821,86596,-24422,62174
2007-08-07,263905,17040,-30390,-13350,67831,-23057,44774
2007-08-14,278398,17417,-29108,-11691,62132,-30472,31660
2007-08-21,273008,16505,-23385,-6880,42973,-31831,11142
2007-08-28,276995,15222,-24366,-9144,40275,-31475,8800
2007-09-04,269834,15215,-23779,-8564,48604,-20937,27667
2007-09-11,299538,15491,-19064,-3573,39121,-29685,9436
2007-09-18,168189,15605,-15223,382,47605,-18869,28736
2007-09-25,171770,17584,-14512,3072,35438,-27363,8075
2007-10-02,197060,19123,-15032,4091,46203,-16140,30063
2007-10-09,224347,19751,-15722,4029,64795,-25114,39681
2007-10-16,228334,20276,-15120,5156,68378,-32684,35694
2007-10-23,225032,19585,-13614,5971,54350,-39600,14750
2007-10-30,222002,19513,-13540,5973,53271,-50414,2857
2007-11-06,216041,16625,-15613,1012,56023,-53568,2455
2007-11-13,190955,14220,-16059,-1839,28135,-43165,-15030
2007-11-20,193209,20767,-13941,6826,25402,-47441,-22039
2007-11-27,192574,20420,-14688,5732,24126,-45459,-21333
2007-12-04,195761,18195,-12934,5261,27787,-47603,-19816
2007-12-11,218614,11565,-13684,-2119,25396,-40150,-14754
2007-12-18,176620,3618,-12182,-8564,30829,-30687,142
2007-12-24,180033,5227,-12181,-6954,33920,-26152,7768
2007-12-31,181412,4130,-16580,-12450,35741,-25506,10235
2008-01-08,193786,3914,-20979,-17065,21556,-42381,-20825
2008-01-15,202548,4209,-23371,-19162,22822,-40717,-17895
2008-01-22,193308,4561,-14326,-9765,21908,-42520,-20612
2008-01-29,206162,4439,-14725,-10286,22997,-55776,-32779
2008-02-05,225290,5617,-15282,-9665,35963,-62624,-26661
2008-02-12,231216,5718,-15479,-9761,36188,-50804,-14616
2008-02-19,237223,5826,-15690,-9864,41240,-57377,-16137
2008-02-26,235856,5935,-16239,-10304,44844,-46904,-2060
2008-03-04,254859,3432,-15516,-12084,46341,-87909,-41568
2008-03-11,234069,4060,-14328,-10268,39990,-79661,-39671
2008-03-18,193580,4461,-14905,-10444,25344,-82871,-57527
2008-03-25,196616,4631,-16149,-11518,24512,-90283,-65771
2008-04-01,189206,4083,-15805,-11722,27818,-76944,-49126
2008-04-08,182491,3823,-14884,-11061,31373,-66408,-35035
2008-04-15,177514,4018,-14973,-10955,24954,-66337,-41383
2008-04-22,172737,4286,-15514,-11228,29678,-38395,-8717
2008-04-29,166940,4746,-13722,-8976,19752,-47889,-28137
2008-05-06,169098,4858,-14606,-9748,23603,-43249,-19646
2008-05-13,174423,4836,-14965,-10129,30834,-36108,-5274
2008-05-20,165388,4820,-14581,-9761,25925,-41827,-15902
2008-05-27,171688,5321,-14992,-9671,32171,-41899,-9728
2008-06-03,164454,5729,-15012,-9283,33205,-31830,1375
